dataset,latent_idx,k1_auc,description,sae_id,layer
153_it_tick_Administrative rights,10225,0.6470001477759715,"Activates on IT purchase order and equipment procurement requests with standardized templates mentioning mandatory receipts, device allocation, and retrieval of old equipment.",layer_24/width_16k/batch_topk_32,24
154_athlete_sport_football,4636,0.7300253759802726,"Activates on American football player names, particularly wide receivers and skill position players such as 'Henry Ellard', 'Brett Perriman', and 'Michael Crabtree'.",layer_24/width_16k/batch_topk_32,24
155_athlete_sport_basketball,443,0.6535210964717352,"Activates on NBA basketball player names, particularly contemporary players like 'Kelly Oubre Jr.', 'Wendell Carter Jr.', 'Bojan Bogdanović', and 'Julius Randle'.",layer_24/width_16k/batch_topk_32,24
156_athlete_sport_baseball,12656,0.6844919786096256,"Activates on MLB baseball player names such as 'Jeimer Candelario', 'Ronald Acuña Jr.', and 'Salvador Perez'.",layer_24/width_16k/batch_topk_32,24
157_amazon_5star,8475,0.7329943279361767,"Activates on Amazon product review titles expressing strong dissatisfaction, with short, emphatic complaints like 'So sorry I made this purchase!', 'TOO SMALL!', and 'Missing Pieces'.",layer_24/width_16k/batch_topk_32,24
158_code_C,8504,0.992826268520728,"Activates on C programming language source code patterns including preprocessor header guards, copyright/license headers (e.g. GNU GPL), and institutional attribution text from entities like Lawrence Livermore.",layer_24/width_16k/batch_topk_32,24
159_code_Python,230,0.9788408139358309,"Activates on Python source code copyright and license boilerplate text, including Apache License references, European Community funding acknowledgments, and software documentation headers.",layer_24/width_16k/batch_topk_32,24
160_code_HTML,13850,0.7818863393134766,"Activates on HTML source code markup including DOCTYPE declarations, transitional DTD references, XML namespace attributes, and structured HTML head elements with meta tags.",layer_24/width_16k/batch_topk_32,24
161_agnews_0,2084,0.9324897317974415,"Activates on international political and diplomatic news stories about NATO military operations, corporate legal proceedings (Yukos), Middle Eastern diplomacy, and EU expansion negotiations.",layer_24/width_16k/batch_topk_32,24
162_agnews_1,10986,0.9101211394812388,"Activates on professional sports news stories covering topics like NHL lockouts, cricket bowling regulations, boxing medical suspensions, and football player injuries.",layer_24/width_16k/batch_topk_32,24
163_agnews_2,2084,0.9180055553145179,"Activates on business and corporate news about technology companies and major deals, including Canon/Toshiba product launches, Fiat/GM mediation, aviation policy changes, and Oracle vs SAP competition.",layer_24/width_16k/batch_topk_32,24
21_headline_istrump,6271,0.8510851217015226,"Activates on news headlines prominently featuring Donald Trump, covering political events like impeachment, appointments, and campaign moments with his name as the central subject.",layer_24/width_16k/batch_topk_32,24
22_headline_isobama,12905,0.868344384167169,"Activates on news headlines prominently featuring Barack Obama, covering policy negotiations, foreign affairs, and legislative strategy with Obama as the primary actor.",layer_24/width_16k/batch_topk_32,24
23_headline_ischina,1588,0.7320777992990223,"Activates on news headlines about China, covering topics such as detention camps, military power, internet censorship crackdowns, and geopolitical positioning.",layer_24/width_16k/batch_topk_32,24
24_headline_isiran,16293,0.7993443021067331,"Activates on news headlines about Iran and Iranian politics, including presidential elections, Tehran political figures, and Iranian diplomatic and domestic affairs.",layer_24/width_16k/batch_topk_32,24
26_headline_isfrontpage,6271,0.6329565212108078,"Activates on prominent front-page political news headlines featuring high-profile US political figures and major political events such as impeachment proceedings, coronavirus response, and foreign policy debates.",layer_24/width_16k/batch_topk_32,24
36_sciq_tf,6963,0.6988456911575138,"Activates on science quiz questions about natural phenomena and biology, following a Q&A format asking about topics like water cycles, energy sources, fermentation, and heterotrophic organisms.",layer_24/width_16k/batch_topk_32,24
41_truthqa_tf,3355,0.6081632653061224,"Activates on general knowledge trivia questions in a simple Q&A format, such as 'What is the biggest university in the country?', 'Can you teach an old dog new tricks?', and 'Are toads frogs?'.",layer_24/width_16k/batch_topk_32,24
42_temp_sense,4247,0.6345979410127991,"Activates on prose containing temporal references and time-related expressions such as 'While these laws were met with...', 'When I was in college...', indicating past events or temporal reasoning contexts.",layer_24/width_16k/batch_topk_32,24
44_phys_tf,14667,0.5572792568192244,"Activates on practical how-to questions about everyday physical tasks, such as 'To open a beer bottle with a watch', 'To cut carrots into thin strips', and 'How do I clean my bathroom mirror?'.",layer_24/width_16k/batch_topk_32,24
47_reasoning_tf,11579,0.5381099045927284,"Activates on logical reasoning and inference questions requiring causal or comparative thinking, such as 'If there is more food in a place then more people will...' and 'Which object likely contains less energy?'.",layer_24/width_16k/batch_topk_32,24
48_cm_correct,9297,0.6062623855867971,"Activates on descriptions of everyday normal, morally appropriate actions like 'I saw the commercial for the laptop and decided to buy one', 'I left the diner after cleaning up after myself', and 'I read the blog and shared it'.",layer_24/width_16k/batch_topk_32,24
49_cm_isshort,11532,0.966594230708863,"Activates on short sentences describing morally questionable or transgressive actions, such as 'I stole the car', 'I took the bribe', and 'I gave my son a bunch of perler beads to eat'.",layer_24/width_16k/batch_topk_32,24
50_deon_isvalid,8944,0.6080480112684156,"Activates on polite requests and reminders about social obligations or responsibilities, such as 'Can you give me a ride to school today?' and 'Aren't you supposed to be studying for your math final?'.",layer_24/width_16k/batch_topk_32,24
51_just_is,6452,0.6054149507006812,"Activates on sentences presenting unjust, unreasonable, or absurd claims of deservingness, such as 'I deserve a cheesecake for my birthday because I bossed my parents around' and other morally dubious justifications.",layer_24/width_16k/batch_topk_32,24
52_virtue_is,1506,0.6688834056360177,"Activates on sentences pairing behavioral descriptions with explicit virtue labels using a [SEP] delimiter, such as 'He always watched out for bugs in his code. [SEP] attentive' and 'James was known for showing up on time [SEP] dependable'.",layer_24/width_16k/batch_topk_32,24
54_cs_tf,16228,0.5515268257759947,"Activates on common-sense statements about everyday knowledge and observations, such as 'Standing in line can be boring', 'Cost has to be a big factor in why anyone buys a house', and simple factual claims.",layer_24/width_16k/batch_topk_32,24
56_wikidatasex_or_gender,10499,0.7289334902216518,"Activates on dense analytical and academic prose with complex sentence structures discussing socioeconomic topics, data analysis, and cultural commentary in a scholarly or journalistic register.",layer_24/width_16k/batch_topk_32,24
57_wikidatais_alive,7114,0.7681040951294077,"Activates on text referencing entertainment, film, and pop culture figures, mentioning actors like Timothy Spall, describing movie plots, and discussing media events such as the White House Correspondents' Dinner.",layer_24/width_16k/batch_topk_32,24
58_wikidatapolitical_party,3991,0.5312216711992748,"Activates on text about educational institutions, legal/copyright history, and regional cultural organizations, mentioning entities like the Five Colleges consortium, copyright law evolution, and humanities programs.",layer_24/width_16k/batch_topk_32,24
59_wikidata_occupation_isjournalist,10499,0.740679806106305,"Activates on long-form analytical and scholarly prose with complex argumentation, discussing topics such as banking regulation, neuroscience research, and art criticism in an expository, intellectual style.",layer_24/width_16k/batch_topk_32,24
5_hist_fig_ismale,7540,0.7570703536771712,"Activates on names of historical female noble and royal figures, particularly medieval European women with patronymic naming patterns like 'Gertrude of Bavaria', 'Sibylle of Bavaria', and 'Beatrice of Burgundy'.",layer_24/width_16k/batch_topk_32,24
60_wikidata_occupation_isathlete,7748,0.6988104655468408,"Activates on text describing athletic performances and sports activities, mentioning assists, penalties, match performances, and meticulous equipment care by professional athletes.",layer_24/width_16k/batch_topk_32,24
61_wikidata_occupation_isactor,6111,0.8002617228262698,"Activates on text about films, television shows, and entertainment productions, discussing movie reviews, TV series history, and actor performances, referencing shows like 'The Simpsons' and biographical film narratives.",layer_24/width_16k/batch_topk_32,24
62_wikidata_occupation_ispolitician,7114,0.6858652842764331,"Activates on entertainment and film narrative text referencing actors and movie plots, mentioning figures like Robert De Niro, John Boyega, and describing character-driven film storylines.",layer_24/width_16k/batch_topk_32,24
63_wikidata_occupation_issinger,3886,0.801789140606591,"Activates on informal first-person narratives with dialogue and colloquial language, featuring personal anecdotes, quoted speech, and casual storytelling with elements of humor and local color.",layer_24/width_16k/batch_topk_32,24
64_wikidata_occupation_isresearcher,7114,0.719492944600011,"Activates on text discussing TV and film characters and plot elements, including references to shows like Buffy, sequel films, and character-driven narrative descriptions with fan-commentary style.",layer_24/width_16k/batch_topk_32,24
65_high-school,9262,0.9462011776881866,"Activates on biographical text mentioning high school graduation, following patterns like 'graduated from [Name] High School' and 'following her graduation from [Name] High School' in obituary-style prose.",layer_24/width_16k/batch_topk_32,24
66_living-room,14438,0.9481149820757111,"Activates on real estate listing descriptions mentioning living rooms, with phrases like 'large living room', 'huge living room', and property descriptions emphasizing spacious living areas.",layer_24/width_16k/batch_topk_32,24
67_social-security,13247,0.9940675902375671,"Activates on text mentioning social security systems and benefits, discussing topics like disability poverty, pension contributions, and welfare state mechanisms across different countries.",layer_24/width_16k/batch_topk_32,24
68_credit-card,3643,0.9840765192921695,"Activates on text mentioning credit cards in financial, legal, or consumer contexts, including credit card fraud, refund disputes, and debt management scenarios.",layer_24/width_16k/batch_topk_32,24
69_blood-pressure,8240,0.9789824767303426,"Activates on medical and clinical research text discussing blood pressure measurements, hypertension risk factors, and clinical study results comparing blood pressure across patient groups.",layer_24/width_16k/batch_topk_32,24
6_hist_fig_isamerican,15510,0.7880757114402571,"Activates on names of American historical figures, particularly athletes and notable individuals such as 'Jack Hawkins', 'John J. Morgan', and 'Al Oerter'.",layer_24/width_16k/batch_topk_32,24
70_prime-factors,12462,0.999525643974241,Activates on mathematical prime factorization questions and answers in the format 'What are the prime factors of [number]?' followed by comma-separated lists of prime factors.,layer_24/width_16k/batch_topk_32,24
71_social-media,8476,0.9893248755343904,"Activates on text discussing social media platforms and their societal impact, mentioning hashtags, platform handles like @CDCgov, and the role of social media in public discourse and health communication.",layer_24/width_16k/batch_topk_32,24
72_gene-expression,13716,0.85902240380973,"Activates on molecular biology research text about gene expression studies, discussing topics like dose-related DNA strand breaks, steroidogenesis pathways, and growth factor expression comparisons.",layer_24/width_16k/batch_topk_32,24
73_control-group,2152,0.9647260065479734,"Activates on scientific experimental text comparing results to control groups, using statistical comparison phrases like 'compared to the control group' with p-values and quantitative measurements.",layer_24/width_16k/batch_topk_32,24
74_magnetic-field,2041,0.9125798203365982,"Activates on physics research text about magnetic fields and electromagnetic phenomena, discussing MHD cascades, laser beam polarization, and mathematical formulations of field equations.",layer_24/width_16k/batch_topk_32,24
75_cell-lines,12030,0.9775568719898263,"Activates on biomedical research text mentioning cancer cell lines as experimental models, discussing studies on prostate, colon, glioblastoma, and breast cancer cell lines.",layer_24/width_16k/batch_topk_32,24
76_trial-court,2747,0.930590129336003,"Activates on legal text referencing trial court proceedings, judicial rulings, and appellate review, with language like 'the trial court charged', 'the trial court instructed', and case citations.",layer_24/width_16k/batch_topk_32,24
77_second-derivative,16267,0.9353463729097895,"Activates on calculus problems asking for second derivatives of polynomial expressions, using formats like 'Find the second derivative of [expression] wrt [variable]' with algebraic answers.",layer_24/width_16k/batch_topk_32,24
78_north-america,7644,0.8773781217868932,"Activates on text mentioning North America in geographic, demographic, or cultural contexts, discussing topics like endangered languages, survey respondent locations, and continental advocacy work.",layer_24/width_16k/batch_topk_32,24
79_human-rights,453,0.9252901942745819,"Activates on text discussing human rights issues, organizations, and mechanisms such as the Universal Periodic Review, government investigations, and international human rights monitoring reports.",layer_24/width_16k/batch_topk_32,24
7_hist_fig_ispolitician,16244,0.5814824781603563,"Activates on names of historical European scholars, artists, and intellectuals, particularly Dutch and German figures from the early modern period such as 'Johann David Michaelis' and 'Adriaen Coorte'.",layer_24/width_16k/batch_topk_32,24
80_side-effects,1888,0.9839632150008119,"Activates on medical text discussing drug or treatment side effects, including concerns about joint destruction from medications, GLP-1 analogue adverse effects, and chemotherapy treatment complications.",layer_24/width_16k/batch_topk_32,24
81_public-health,3409,0.973655061150495,"Activates on text about public health concerns and policy, discussing pathogenicity factors, gain-of-function research implications, and disease surveillance for emerging infectious threats.",layer_24/width_16k/batch_topk_32,24
82_federal-government,7670,0.7422720554413118,"Activates on text discussing government policy, regulation, and public opinion about government roles, including survey results about government necessity, debtor protection laws, and policy analysis.",layer_24/width_16k/batch_topk_32,24
83_third-party,2887,0.9421141904323826,"Activates on legal text mentioning third-party claims, liability, and contractual relationships, including references to third-party beneficiaries, settlement agreements, and insurance payers.",layer_24/width_16k/batch_topk_32,24
84_clinical-trials,13295,0.8694802207911684,"Activates on medical research methodology text about clinical trials, referencing Medline searches, randomized controlled trials, clinical trial registries, and systematic review protocols.",layer_24/width_16k/batch_topk_32,24
85_mental-health,8643,0.9678909167162726,"Activates on text discussing mental health topics including forensic facility referrals, counter-dependence, psychological underachievement, and parental attitudes toward children's mental health treatment.",layer_24/width_16k/batch_topk_32,24
87_glue_cola,238,0.598453073752024,"Activates on sentences with unusual or potentially ungrammatical structures, such as 'The motorist happened the accident', 'Which books did Robin read and talk to Chris?', testing grammatical acceptability.",layer_24/width_16k/batch_topk_32,24
89_glue_mrpc,6704,0.6437133161944871,"Activates on sentence pairs that are close paraphrases of news events, where both sentences describe the same event with different wording, such as standoffs, proposals, and diplomatic encounters.",layer_24/width_16k/batch_topk_32,24
90_glue_qnli,6188,0.5989876096032664,"Activates on question-context passage pairs where a factual question is paired with a relevant but not necessarily directly answering passage, testing reading comprehension and inference.",layer_24/width_16k/batch_topk_32,24
91_glue_qqp,4160,0.7273505147644801,"Activates on pairs of questions testing semantic similarity, where two questions may or may not be asking the same thing, such as different phrasings about DNA replication or commuting preferences.",layer_24/width_16k/batch_topk_32,24
92_glue_sst2,5490,0.574623002230798,"Activates on movie review text with negative or campy descriptions, referencing 'cheesy dialogue', 'ridiculous action sequences', 'straight-to-video' quality, and trashy but entertaining film elements.",layer_24/width_16k/batch_topk_32,24
94_ai_gen,14067,0.7981625282647065,"Activates on AI-generated student-style persuasive and expository essays about topics like the Face on Mars, plastic bans, Venus exploration, and the Electoral College, written in a formulaic, structured manner.",layer_24/width_16k/batch_topk_32,24
95_toxic_is,14864,0.6697959183673471,"Activates on creative writing prompts and requests, including instructions to write emails, stories, and paragraphs about varied subjects, some containing mildly provocative or boundary-pushing content.",layer_24/width_16k/batch_topk_32,24
96_spam_is,15543,0.9867066739407164,"Activates on casual SMS-style text messages with informal abbreviations, colloquial language, and shorthand like 'Nvm', 'leh', 'lar', 'ü', characteristic of personal mobile messaging conversations.",layer_24/width_16k/batch_topk_32,24
