dataset,layer,frac,method,baseline_test_auc,sae_best_test_auc,diff,sae_best_k,sae_best_sae_id,sae_better
24_headline_isiran,24,0.35,logreg,0.9986813186813188,0.9815384615384616,0.017142857,128,layer_24/width_16k/p_anneal,FALSE
26_headline_isfrontpage,24,0.35,logreg,0.7433486203379035,0.7603170251137158,0.016968405,128,layer_24/width_16k/gated,TRUE
36_sciq_tf,24,0.35,logreg,0.9247491097718188,0.8826925336634825,0.042056576,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,0.35,logreg,0.887032967,0.807032967,0.08,128,layer_24/width_16k/standard_new,FALSE
42_temp_sense,24,0.35,logreg,0.9282436378806842,0.8702544847726323,0.057989153,128,layer_24/width_16k/p_anneal,FALSE
44_phys_tf,24,0.35,logreg,0.81520038,0.8018712247257791,0.013329155,128,layer_24/width_16k/standard_new,FALSE
47_reasoning_tf,24,0.35,logreg,0.6884342142654163,0.6977834612105713,0.009349247,128,layer_24/width_16k/jumprelu_32,TRUE
48_cm_correct,24,0.35,logreg,0.7607070055125176,0.7802366789337358,0.019529673,128,layer_24/width_16k/standard_new,TRUE
49_cm_isshort,24,0.35,logreg,0.999998297,0.9999761584035667,2.21386E-05,128,layer_24/width_16k/gated,FALSE
50_deon_isvalid,24,0.35,logreg,0.8699211013455175,0.8494931106301165,0.020427991,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.35,logreg,0.8567077480079495,0.8137528546054301,0.042954893,128,layer_24/width_16k/standard_new,FALSE
52_virtue_is,24,0.35,logreg,0.9605016368518966,0.9154356852813209,0.045065952,128,layer_24/width_16k/gated,FALSE
54_cs_tf,24,0.35,logreg,0.6495728096810506,0.6254621438022918,0.024110666,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.35,logreg,0.9992166332600488,0.9875308450653856,0.011685788,128,layer_24/width_16k/p_anneal,FALSE
57_wikidatais_alive,24,0.35,logreg,0.9847277545132992,0.9615503168377868,0.023177438,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.35,logreg,0.9526605978807112,0.8855641386439996,0.067096459,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.35,logreg,0.938021978,0.9164835164835164,0.021538462,128,layer_24/width_16k/p_anneal,FALSE
60_wikidata_occupation_isathlete,24,0.35,logreg,0.9652747252747252,0.9406593406593406,0.024615385,128,layer_24/width_16k/batch_topk_32,FALSE
61_wikidata_occupation_isactor,24,0.35,logreg,0.9749450549450548,0.9542857142857143,0.020659341,128,layer_24/width_16k/topk_32,FALSE
62_wikidata_occupation_ispolitician,24,0.35,logreg,0.9709890109890108,0.9556043956043956,0.015384615,128,layer_24/width_16k/batch_topk_32,FALSE
63_wikidata_occupation_issinger,24,0.35,logreg,0.898021978,0.898021978,0,128,layer_24/width_16k/gated,FALSE
64_wikidata_occupation_isresearcher,24,0.35,logreg,0.9802197802197802,0.9657142857142857,0.014505495,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
5_hist_fig_ismale,24,0.4,logreg,0.9945866419900228,0.9783578727053386,0.016228769,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.4,logreg,0.9813713947956184,0.974460966,0.006910429,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,0.4,logreg,0.6858152901524365,0.7026464408624552,0.016831151,128,layer_24/width_16k/standard_new,TRUE
21_headline_istrump,24,0.4,logreg,0.9737536114623656,0.9328352785569975,0.040918333,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,0.4,logreg,0.9933333333333334,0.97375,0.019583333,128,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,0.4,logreg,0.9633333333333332,0.9433333333333334,0.02,128,layer_24/width_16k/standard_new,FALSE
24_headline_isiran,24,0.4,logreg,0.9833333333333334,0.9750000000000001,0.008333333,128,layer_24/width_16k/standard_new,FALSE
26_headline_isfrontpage,24,0.4,logreg,0.7297632947841521,0.7517817085991967,0.022018414,128,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,0.4,logreg,0.9316959217324038,0.8959688893410785,0.035727032,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,0.4,logreg,0.8858333333333334,0.8841666666666667,0.001666667,128,layer_24/width_16k/standard_new,FALSE
42_temp_sense,24,0.4,logreg,0.9514466904478794,0.8983353151010701,0.053111375,128,layer_24/width_16k/standard_new,FALSE
44_phys_tf,24,0.4,logreg,0.7736362036081517,0.7753682520764394,0.001732048,128,layer_24/width_16k/standard_new,TRUE
