dataset,layer,method,baseline_test_auc,sae_best_test_auc,diff,sae_best_k,sae_best_sae_id,sae_better
62_wikidata_occupation_ispolitician,7,logreg,0.96545427,0.9569882519271552,0.008466018,512,layer_7/width_16k/standard_new,FALSE
63_wikidata_occupation_issinger,7,logreg,0.9479079004948328,0.939496583,0.008411317,512,layer_7/width_16k/standard_new,FALSE
64_wikidata_occupation_isresearcher,7,logreg,0.9688455132780612,0.9538058895660609,0.015039624,512,layer_7/width_16k/jumprelu_32,FALSE
65_high-school,7,logreg,0.99951888,0.9997945302776123,0.000275651,512,layer_7/width_16k/gated,TRUE
66_living-room,7,logreg,1,1,0,64,layer_7/width_16k/standard_new,FALSE
67_social-security,7,logreg,0.99976409,0.9999983088911739,0.000234219,256,layer_7/width_16k/standard_new,TRUE
68_credit-card,7,logreg,1,1,0,256,layer_7/width_16k/standard_new,FALSE
69_blood-pressure,7,logreg,1,1,0,128,layer_7/width_16k/standard_new,FALSE
70_prime-factors,7,logreg,0.9999974633367604,1,2.53666E-06,16,layer_7/width_16k/topk_32,TRUE
71_social-media,7,logreg,0.9992778965311976,0.9999120623410358,0.000634166,32,layer_7/width_16k/gated,TRUE
72_gene-expression,7,logreg,0.9999577222793442,1,4.22777E-05,256,layer_7/width_16k/gated,TRUE
73_control-group,7,logreg,0.999384014,0.9998680935115537,0.00048408,128,layer_7/width_16k/gated,TRUE
74_magnetic-field,7,logreg,0.9994736423778344,0.9999272823204719,0.00045364,128,layer_7/width_16k/gated,TRUE
75_cell-lines,7,logreg,0.999965332,1,3.46677E-05,512,layer_7/width_16k/gated,TRUE
76_trial-court,7,logreg,0.9992233582715516,0.9999746333676065,0.000751275,512,layer_7/width_16k/gated,TRUE
77_second-derivative,7,logreg,0.9999983088911738,1,1.69111E-06,128,layer_7/width_16k/gated,TRUE
78_north-america,7,logreg,0.9999780155852588,0.9999974633367607,1.94478E-05,512,layer_7/width_16k/gated,TRUE
79_human-rights,7,logreg,0.9998587924130092,0.9999188267763407,6.00344E-05,64,layer_7/width_16k/gated,TRUE
80_side-effects,7,logreg,0.9999382745278425,0.9999780155852589,3.97411E-05,512,layer_7/width_16k/gated,TRUE
81_public-health,7,logreg,0.9998799312733372,0.9999619500514098,8.20188E-05,256,layer_7/width_16k/gated,TRUE
82_federal-government,7,logreg,0.9999966177823476,1,3.38222E-06,512,layer_7/width_16k/gated,TRUE
83_third-party,7,logreg,1,0.9999763244764327,2.36755E-05,256,layer_7/width_16k/gated,FALSE
84_clinical-trials,7,logreg,1,1,0,512,layer_7/width_16k/gated,FALSE
85_mental-health,7,logreg,0.999338776,0.9994977406786082,0.000158964,256,layer_7/width_16k/gated,TRUE
87_glue_cola,7,logreg,0.7817134310644948,0.7692602520001741,0.012453179,512,layer_7/width_16k/gated,FALSE
5_hist_fig_ismale,16,logreg,0.993957201,0.9874154337195796,0.006541767,512,layer_16/width_16k/standard_new,FALSE
6_hist_fig_isamerican,16,logreg,0.9805792480094456,0.9727453801824536,0.007833868,512,layer_16/width_16k/standard,FALSE
7_hist_fig_ispolitician,16,logreg,0.694322072,0.6954113964106734,0.001089324,128,layer_16/width_16k/topk_32,TRUE
21_headline_istrump,16,logreg,0.9778034082704582,0.9656140162565732,0.012189392,512,layer_16/width_16k/gated,FALSE
22_headline_isobama,16,logreg,0.9765320474181234,0.9595639943741209,0.016968053,512,layer_16/width_16k/jumprelu_32,FALSE
23_headline_ischina,16,logreg,0.9741572126913852,0.9519403707802989,0.022216842,512,layer_16/width_16k/gated,FALSE
24_headline_isiran,16,logreg,0.9687936373019248,0.9478173759941716,0.020976261,512,layer_16/width_16k/gated,FALSE
26_headline_isfrontpage,16,logreg,0.7713996611779383,0.7611982919155599,0.010201369,512,layer_16/width_16k/p_anneal,FALSE
36_sciq_tf,16,logreg,0.9440753732257664,0.9380229540301699,0.006052419,512,layer_16/width_16k/standard_new,FALSE
41_truthqa_tf,16,logreg,0.9612244897959183,0.9444897959183673,0.016734694,512,layer_16/width_16k/jumprelu_32,FALSE
42_temp_sense,16,logreg,0.9497245409015024,0.9325403450194769,0.017184196,512,layer_16/width_16k/gated,FALSE
44_phys_tf,16,logreg,0.8417819448143314,0.8286500583774413,0.013131886,256,layer_16/width_16k/p_anneal,FALSE
47_reasoning_tf,16,logreg,0.7241884651749134,0.7331690685614416,0.008980603,512,layer_16/width_16k/jumprelu_32,TRUE
48_cm_correct,16,logreg,0.8284520915123353,0.8003790230056738,0.028073069,512,layer_16/width_16k/standard_new,FALSE
49_cm_isshort,16,logreg,1,1,0,64,layer_16/width_16k/batch_topk_32,FALSE
50_deon_isvalid,16,logreg,0.9311695538100268,0.9132920320108877,0.017877522,512,layer_16/width_16k/standard_new,FALSE
51_just_is,16,logreg,0.9190999039025294,0.8953608414452493,0.023739062,512,layer_16/width_16k/standard_new,FALSE
52_virtue_is,16,logreg,0.9739190928264796,0.9586468429669683,0.01527225,512,layer_16/width_16k/p_anneal,FALSE
54_cs_tf,16,logreg,0.7282674405770303,0.6854828011855735,0.042784639,512,layer_16/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,16,logreg,0.998402468,0.9974785805927663,0.000923888,512,layer_16/width_16k/standard_new,FALSE
57_wikidatais_alive,16,logreg,0.990098113,0.9869422878488849,0.003155825,512,layer_16/width_16k/standard_new,FALSE
58_wikidatapolitical_party,16,logreg,0.9754439289713648,0.9481241975642871,0.027319731,512,layer_16/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,16,logreg,0.950318948,0.9239615242198809,0.026357424,512,layer_16/width_16k/p_anneal,FALSE
60_wikidata_occupation_isathlete,16,logreg,0.9586755646817248,0.9436496448648466,0.01502592,512,layer_16/width_16k/standard_new,FALSE
61_wikidata_occupation_isactor,16,logreg,0.9489977109772108,0.9316827683710909,0.017314943,512,layer_16/width_16k/standard_new,FALSE
62_wikidata_occupation_ispolitician,16,logreg,0.9715828760898104,0.9646253408287608,0.006957535,512,layer_16/width_16k/p_anneal,FALSE
63_wikidata_occupation_issinger,16,logreg,0.9467002726630086,0.9280514693506582,0.018648803,512,layer_16/width_16k/jumprelu_32,FALSE
64_wikidata_occupation_isresearcher,16,logreg,0.9791723860246344,0.9669604128918904,0.012211973,512,layer_16/width_16k/standard_new,FALSE
65_high-school,16,logreg,0.994930901,0.9971022850262461,0.002171384,512,layer_16/width_16k/standard_new,TRUE
66_living-room,16,logreg,0.9988093085771784,0.9989964954956436,0.000187187,512,layer_16/width_16k/standard_new,TRUE
67_social-security,16,logreg,0.9999746333676064,0.999972097,2.53666E-06,512,layer_16/width_16k/standard_new,FALSE
68_credit-card,16,logreg,0.9999069890145572,0.9996296471670545,0.000277342,512,layer_16/width_16k/standard_new,FALSE
69_blood-pressure,16,logreg,0.9999086801233834,0.9998258157908977,8.28643E-05,512,layer_16/width_16k/standard_new,FALSE
70_prime-factors,16,logreg,0.99999239,0.9999974633367607,5.07333E-06,1,layer_16/width_16k/batch_topk_32,TRUE
5_hist_fig_ismale,24,logreg,0.9931744467813424,0.9899864714203692,0.003187975,512,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,logreg,0.9796304247224666,0.9780036535265949,0.001626771,512,layer_24/width_16k/standard_new,FALSE
7_hist_fig_ispolitician,24,logreg,0.6746782911864747,0.7034943683236814,0.028816077,512,layer_24/width_16k/jumprelu_32,TRUE
21_headline_istrump,24,logreg,0.9728071498948396,0.9612610236152698,0.011546126,512,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,logreg,0.9755877034358046,0.9703134418324292,0.005274262,512,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,logreg,0.9852368105515588,0.9816108651540306,0.003625945,256,layer_24/width_16k/standard_new,FALSE
24_headline_isiran,24,logreg,0.9855200048570214,0.9831218505251655,0.002398154,512,layer_24/width_16k/gated,FALSE
26_headline_isfrontpage,24,logreg,0.7173142022745431,0.7684774981038722,0.051163296,128,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,logreg,0.9323667217193448,0.9135411360969036,0.018825586,512,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,logreg,0.9587755102040816,0.9212244897959183,0.03755102,512,layer_24/width_16k/standard_new,FALSE
42_temp_sense,24,logreg,0.920116861,0.8959877573734001,0.024129104,512,layer_24/width_16k/standard_new,FALSE
44_phys_tf,24,logreg,0.7997230995434105,0.8076308885016187,0.007907789,512,layer_24/width_16k/jumprelu_32,TRUE
47_reasoning_tf,24,logreg,0.681355471,0.7051886657307395,0.023833195,512,layer_24/width_16k/standard_new,TRUE
48_cm_correct,24,logreg,0.8030305638562123,0.7971032030127418,0.005927361,512,layer_24/width_16k/standard,FALSE
49_cm_isshort,24,logreg,0.999999241,0.9999931648269081,6.07571E-06,512,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,logreg,0.8831517033757655,0.867857118,0.015294586,512,layer_24/width_16k/standard_new,FALSE
51_just_is,24,logreg,0.8703587908933217,0.8506648851336505,0.019693906,512,layer_24/width_16k/p_anneal,FALSE
52_virtue_is,24,logreg,0.961500824,0.9339846376826009,0.027516186,512,layer_24/width_16k/gated,FALSE
54_cs_tf,24,logreg,0.6764210071703498,0.6628383790412328,0.013582628,512,layer_24/width_16k/jumprelu_32,FALSE
56_wikidatasex_or_gender,24,logreg,0.9991681341192602,0.9952077841989025,0.00396035,512,layer_24/width_16k/standard_new,FALSE
57_wikidatais_alive,24,logreg,0.9881176844661324,0.9800959759563925,0.008021709,512,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,logreg,0.96397602,0.9388795228660849,0.025096497,512,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,logreg,0.9428543777560844,0.92953681,0.013317568,256,layer_24/width_16k/standard_new,FALSE
60_wikidata_occupation_isathlete,24,logreg,0.960880432,0.9442892247618406,0.016591207,512,layer_24/width_16k/standard_new,FALSE
61_wikidata_occupation_isactor,24,logreg,0.9457198640051168,0.9237890059581916,0.021930858,512,layer_24/width_16k/jumprelu_32,FALSE
62_wikidata_occupation_ispolitician,24,logreg,0.9641077860436936,0.9445921836604166,0.019515602,256,layer_24/width_16k/topk_32,FALSE
63_wikidata_occupation_issinger,24,logreg,0.9456777863803144,0.9209950516713233,0.024682735,512,layer_24/width_16k/standard,FALSE
64_wikidata_occupation_isresearcher,24,logreg,0.9694723549113272,0.96030308,0.009169275,512,layer_24/width_16k/gated,FALSE
65_high-school,24,logreg,0.9965856512798312,0.995830571,0.00075508,512,layer_24/width_16k/standard_new,FALSE
66_living-room,24,logreg,0.9985664221366336,0.9980276890542221,0.000538733,256,layer_24/width_16k/standard_new,FALSE
67_social-security,24,logreg,0.9998554101953568,0.99987824,2.283E-05,256,layer_24/width_16k/gated,TRUE
68_credit-card,24,logreg,0.9999340467557768,0.9996457127009037,0.000288334,512,layer_24/width_16k/gated,FALSE
69_blood-pressure,24,logreg,0.9996905270847988,0.9995171884301098,0.000173339,512,layer_24/width_16k/jumprelu_32,FALSE
70_prime-factors,24,logreg,1,1,0,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
5_hist_fig_ismale,32,logreg,0.9945928717751906,0.9914643877355731,0.003128484,512,layer_32/width_16k/standard_new,FALSE
6_hist_fig_isamerican,32,logreg,0.9759577849583662,0.9711717714439633,0.004786014,512,layer_32/width_16k/p_anneal,FALSE
7_hist_fig_ispolitician,32,logreg,0.6608188385471359,0.7045933122641233,0.043774474,512,layer_32/width_16k/standard_new,TRUE
21_headline_istrump,32,logreg,0.984373529,0.9742992428653451,0.010074286,512,layer_32/width_16k/p_anneal,FALSE
22_headline_isobama,32,logreg,0.9884468555354632,0.9806710870002009,0.007775769,512,layer_32/width_16k/standard_new,FALSE
23_headline_ischina,32,logreg,0.9950539568345323,0.9935436266371518,0.00151033,512,layer_32/width_16k/standard_new,FALSE
24_headline_isiran,32,logreg,0.9912573614231074,0.9923805476291665,0.001123186,256,layer_32/width_16k/standard_new,TRUE
26_headline_isfrontpage,32,logreg,0.730077875,0.7840120744598441,0.053934199,512,layer_32/width_16k/standard_new,TRUE
36_sciq_tf,32,logreg,0.9162149545486304,0.8857467907596561,0.030468164,512,layer_32/width_16k/jumprelu_32,FALSE
41_truthqa_tf,32,logreg,0.9440816326530612,0.876326531,0.067755102,512,layer_32/width_16k/standard,FALSE
42_temp_sense,32,logreg,0.9155648302726768,0.8878519755147467,0.027712855,512,layer_32/width_16k/gated,FALSE
44_phys_tf,32,logreg,0.7884065844488168,0.7656522932258878,0.022754291,512,layer_32/width_16k/jumprelu_32,FALSE
47_reasoning_tf,32,logreg,0.6713993066498583,0.6835845056298886,0.012185199,512,layer_32/width_16k/p_anneal,TRUE
48_cm_correct,32,logreg,0.8008206511337781,0.802188319,0.001367668,512,layer_32/width_16k/p_anneal,TRUE
49_cm_isshort,32,logreg,1,1,0,512,layer_32/width_16k/p_anneal,FALSE
50_deon_isvalid,32,logreg,0.8566830018865078,0.8441499525588356,0.012533049,512,layer_32/width_16k/standard_new,FALSE
51_just_is,32,logreg,0.8313885578189825,0.8285250000253155,0.002863558,512,layer_32/width_16k/standard_new,FALSE
52_virtue_is,32,logreg,0.946945522,0.9192906435298076,0.027654879,512,layer_32/width_16k/gated,FALSE
54_cs_tf,32,logreg,0.6621763798695546,0.6401377565848033,0.022038623,512,layer_32/width_16k/gated,FALSE
56_wikidatasex_or_gender,32,logreg,0.9955986548379354,0.978896023,0.016702631,512,layer_32/width_16k/standard_new,FALSE
57_wikidatais_alive,32,logreg,0.9809486005109672,0.9717231420733763,0.009225458,512,layer_32/width_16k/standard_new,FALSE
58_wikidatapolitical_party,32,logreg,0.9422307815364926,0.9130026375267137,0.029228144,512,layer_32/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,32,logreg,0.936445955,0.9180117480728448,0.018434207,256,layer_32/width_16k/standard_new,FALSE
60_wikidata_occupation_isathlete,32,logreg,0.952751035,0.9427828457939206,0.009968189,512,layer_32/width_16k/gated,FALSE
61_wikidata_occupation_isactor,32,logreg,0.928935099,0.9261411451846366,0.002793954,256,layer_32/width_16k/standard_new,FALSE
62_wikidata_occupation_ispolitician,32,logreg,0.9602071902245262,0.9415289325748142,0.018678258,512,layer_32/width_16k/jumprelu_32,FALSE
63_wikidata_occupation_issinger,32,logreg,0.9154281819099876,0.9200987982630358,0.004670616,256,layer_32/width_16k/p_anneal,TRUE
64_wikidata_occupation_isresearcher,32,logreg,0.9637141053093944,0.9511887113600176,0.012525394,512,layer_32/width_16k/standard_new,FALSE
65_high-school,32,logreg,0.9951892181665676,0.9946172006060934,0.000572018,512,layer_32/width_16k/p_anneal,FALSE
66_living-room,32,logreg,0.9982002662619776,0.9967831243231595,0.001417142,512,layer_32/width_16k/p_anneal,FALSE
67_social-security,32,logreg,0.9996068171979005,0.9996465582553168,3.97411E-05,512,layer_32/width_16k/jumprelu_32,TRUE
68_credit-card,32,logreg,0.999763245,0.9987519616862385,0.001011283,512,layer_32/width_16k/standard_new,FALSE
69_blood-pressure,32,logreg,0.9997251948157369,0.9994098030196439,0.000315392,512,layer_32/width_16k/jumprelu_32,FALSE
70_prime-factors,32,logreg,0.9999991544455868,1,8.45554E-07,256,layer_32/width_16k/jumprelu_32,TRUE
,,,,avg auc difference:,0.01157932,,,
