dataset,layer,num_train,method,baseline_test_auc,sae_best_test_auc,diff,sae_best_k,sae_best_sae_id,sae_better
24_headline_isiran,24,4,logreg,0.6952958349715165,0.7876935496013987,0.092397715,16,layer_24/width_16k/batch_topk_32,TRUE
26_headline_isfrontpage,24,4,logreg,0.5055838022440379,0.6167415309901104,0.111157729,128,layer_24/width_16k/batch_topk_32,TRUE
36_sciq_tf,24,4,logreg,0.4981870959322524,0.6832038317878973,0.185016736,128,layer_24/width_16k/standard_new,TRUE
41_truthqa_tf,24,4,logreg,0.6129123221194832,0.6441930618401206,0.03128074,128,layer_24/width_16k/jumprelu_32,TRUE
42_temp_sense,24,4,logreg,0.5402968342553554,0.682570126,0.142273292,128,layer_24/width_16k/jumprelu_32,TRUE
44_phys_tf,24,4,logreg,0.5179255939793885,0.5746771225550724,0.056751529,128,layer_24/width_16k/gated,TRUE
47_reasoning_tf,24,4,logreg,0.5025083270270718,0.5126725476007667,0.010164221,128,layer_24/width_16k/gated,TRUE
48_cm_correct,24,4,logreg,0.5703013351810804,0.5814208435230362,0.011119508,16,layer_24/width_16k/p_anneal,TRUE
49_cm_isshort,24,4,logreg,0.9991358725747116,0.9985659332431905,0.000569939,128,layer_24/width_16k/batch_topk_32,FALSE
50_deon_isvalid,24,4,logreg,0.5947909308624313,0.6099049844601352,0.015114054,128,layer_24/width_16k/p_anneal,TRUE
51_just_is,24,4,logreg,0.4443251838154544,0.5775277811356013,0.133202597,128,layer_24/width_16k/gated,TRUE
52_virtue_is,24,4,logreg,0.6177939216749517,0.606635973,0.011157948,128,layer_24/width_16k/topk_32,FALSE
54_cs_tf,24,4,logreg,0.4924872216555783,0.5169073985660294,0.024420177,128,layer_24/width_16k/p_anneal,TRUE
56_wikidatasex_or_gender,24,4,logreg,0.3962453903851956,0.5747600082468858,0.178514618,16,layer_24/width_16k/standard,TRUE
57_wikidatais_alive,24,4,logreg,0.8451623132707207,0.7878108654324341,0.057351448,128,layer_24/width_16k/standard,FALSE
58_wikidatapolitical_party,24,4,logreg,0.5185484453553302,0.5572618311835063,0.038713386,16,layer_24/width_16k/gated,TRUE
59_wikidata_occupation_isjournalist,24,4,logreg,0.4621318866418896,0.567760395,0.105628509,16,layer_24/width_16k/jumprelu_32,TRUE
60_wikidata_occupation_isathlete,24,4,logreg,0.6926521046104245,0.7636677567773461,0.071015652,128,layer_24/width_16k/gated,TRUE
61_wikidata_occupation_isactor,24,4,logreg,0.7854033041006789,0.8332864324436234,0.047883128,128,layer_24/width_16k/topk_32,TRUE
62_wikidata_occupation_ispolitician,24,4,logreg,0.5827844254205503,0.6103641586080888,0.027579733,16,layer_24/width_16k/jumprelu_32,TRUE
63_wikidata_occupation_issinger,24,4,logreg,0.7940072723179559,0.8296422333131659,0.035634961,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
64_wikidata_occupation_isresearcher,24,4,logreg,0.8521432623133711,0.8126919140225178,0.039451348,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
5_hist_fig_ismale,24,5,logreg,0.5484409084253126,0.6241238785701833,0.07568297,128,layer_24/width_16k/standard,TRUE
6_hist_fig_isamerican,24,5,logreg,0.8925440203855358,0.884586373,0.007957647,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,5,logreg,0.6041215016690433,0.6209051181802625,0.016783617,16,layer_24/width_16k/standard_new,TRUE
21_headline_istrump,24,5,logreg,0.80763043,0.7950545059357572,0.012575924,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,5,logreg,0.5855280073461891,0.764309275,0.178781267,16,layer_24/width_16k/standard,TRUE
23_headline_ischina,24,5,logreg,0.5348557860511548,0.6835246700782296,0.148668884,128,layer_24/width_16k/standard_new,TRUE
24_headline_isiran,24,5,logreg,0.5626695093626762,0.7566322010718751,0.193962692,16,layer_24/width_16k/batch_topk_32,TRUE
26_headline_isfrontpage,24,5,logreg,0.4995314361214234,0.5569079371016145,0.057376501,16,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,5,logreg,0.6903803988093682,0.6665736970066923,0.023806702,128,layer_24/width_16k/gated,FALSE
41_truthqa_tf,24,5,logreg,0.6215581854043392,0.624930966,0.003372781,128,layer_24/width_16k/standard_new,TRUE
42_temp_sense,24,5,logreg,0.5381748315487433,0.6861671982899159,0.147992367,128,layer_24/width_16k/standard_new,TRUE
44_phys_tf,24,5,logreg,0.6018347367261218,0.6036903876161205,0.001855651,16,layer_24/width_16k/jumprelu_32,TRUE
47_reasoning_tf,24,5,logreg,0.4979157280855709,0.5080985613797487,0.010182833,128,layer_24/width_16k/standard,TRUE
48_cm_correct,24,5,logreg,0.594941403,0.5825943474981352,0.012347055,128,layer_24/width_16k/p_anneal,FALSE
49_cm_isshort,24,5,logreg,0.999646512,0.9985498016121548,0.001096711,128,layer_24/width_16k/standard,FALSE
50_deon_isvalid,24,5,logreg,0.6118002395826534,0.6353435897205602,0.02354335,16,layer_24/width_16k/standard_new,TRUE
51_just_is,24,5,logreg,0.4527502686844558,0.5857672378660561,0.133016969,16,layer_24/width_16k/gated,TRUE
52_virtue_is,24,5,logreg,0.5382804743556953,0.6791900778033547,0.140909603,16,layer_24/width_16k/jumprelu_32,TRUE
54_cs_tf,24,5,logreg,0.5011348018904223,0.542718864,0.041584062,128,layer_24/width_16k/gated,TRUE
56_wikidatasex_or_gender,24,5,logreg,0.3989777721251084,0.6238242799649527,0.224846508,128,layer_24/width_16k/standard_new,TRUE
57_wikidatais_alive,24,5,logreg,0.8350220504894219,0.8141853524188979,0.020836698,16,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
58_wikidatapolitical_party,24,5,logreg,0.5459763883143709,0.6035790128464456,0.057602625,128,layer_24/width_16k/p_anneal,TRUE
59_wikidata_occupation_isjournalist,24,5,logreg,0.4626225718278204,0.5899171939087071,0.127294622,16,layer_24/width_16k/standard,TRUE
60_wikidata_occupation_isathlete,24,5,logreg,0.729979306,0.8023720107162007,0.072392705,128,layer_24/width_16k/gated,TRUE
61_wikidata_occupation_isactor,24,5,logreg,0.5506539679218196,0.7737535575633621,0.22309959,16,layer_24/width_16k/topk_32,TRUE
62_wikidata_occupation_ispolitician,24,5,logreg,0.6454016009915403,0.6788776560373195,0.033476055,128,layer_24/width_16k/topk_32,TRUE
63_wikidata_occupation_issinger,24,5,logreg,0.7849526513341428,0.8410607952241881,0.056108144,128,layer_24/width_16k/topk_32,TRUE
64_wikidata_occupation_isresearcher,24,5,logreg,0.6769118591472864,0.7202630826302815,0.043351223,128,layer_24/width_16k/jumprelu_32,TRUE
5_hist_fig_ismale,24,7,logreg,0.6682372886361768,0.7890207665598291,0.120783478,128,layer_24/width_16k/topk_32,TRUE
6_hist_fig_isamerican,24,7,logreg,0.9082726272292078,0.9405431703546187,0.032270543,16,layer_24/width_16k/topk_32,TRUE
7_hist_fig_ispolitician,24,7,logreg,0.6318914750780737,0.6419543705826758,0.010062896,128,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
21_headline_istrump,24,7,logreg,0.8708648581319856,0.8231837606837608,0.047681097,128,layer_24/width_16k/batch_topk_32,FALSE
22_headline_isobama,24,7,logreg,0.6311828400414743,0.7718991540201715,0.140716314,128,layer_24/width_16k/jumprelu_32,TRUE
23_headline_ischina,24,7,logreg,0.562026589,0.7130027757487216,0.150976187,128,layer_24/width_16k/p_anneal,TRUE
24_headline_isiran,24,7,logreg,0.5821949170342364,0.6785696282293635,0.096374711,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
26_headline_isfrontpage,24,7,logreg,0.5510926456689679,0.5547834869123932,0.003690841,16,layer_24/width_16k/topk_32,TRUE
36_sciq_tf,24,7,logreg,0.688290688,0.6606148363021861,0.027675852,128,layer_24/width_16k/gated,FALSE
41_truthqa_tf,24,7,logreg,0.6068886671380707,0.6344591960137721,0.027570529,128,layer_24/width_16k/standard_new,TRUE
42_temp_sense,24,7,logreg,0.7012366575870922,0.7031948481017607,0.001958191,128,layer_24/width_16k/standard_new,TRUE
44_phys_tf,24,7,logreg,0.6110902443910257,0.6263704619699211,0.015280218,128,layer_24/width_16k/standard,TRUE
47_reasoning_tf,24,7,logreg,0.4954061702806122,0.5221974206349206,0.02679125,16,layer_24/width_16k/standard,TRUE
48_cm_correct,24,7,logreg,0.5295117219602646,0.6309025530592538,0.101390831,16,layer_24/width_16k/topk_32,TRUE
49_cm_isshort,24,7,logreg,0.9998109154133794,0.9993537737302762,0.000457142,128,layer_24/width_16k/batch_topk_32,FALSE
50_deon_isvalid,24,7,logreg,0.6335643439760026,0.6617556038379355,0.02819126,128,layer_24/width_16k/standard_new,TRUE
51_just_is,24,7,logreg,0.4624204817451512,0.6073647322896121,0.144944251,16,layer_24/width_16k/jumprelu_32,TRUE
52_virtue_is,24,7,logreg,0.6299103325161308,0.6299013869275016,8.94559E-06,16,layer_24/width_16k/batch_topk_32,FALSE
54_cs_tf,24,7,logreg,0.514067219,0.5172262799967128,0.003159061,128,layer_24/width_16k/jumprelu_32,TRUE
56_wikidatasex_or_gender,24,7,logreg,0.405249361,0.6184366139669626,0.213187253,128,layer_24/width_16k/standard_new,TRUE
57_wikidatais_alive,24,7,logreg,0.8390750521346976,0.791197647,0.047877405,128,layer_24/width_16k/standard,FALSE
58_wikidatapolitical_party,24,7,logreg,0.5547739605078784,0.6036292859389745,0.048855325,128,layer_24/width_16k/p_anneal,TRUE
59_wikidata_occupation_isjournalist,24,7,logreg,0.4859730084998629,0.6091464250576604,0.123173417,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
60_wikidata_occupation_isathlete,24,7,logreg,0.6360744181545459,0.7523628651150788,0.116288447,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
61_wikidata_occupation_isactor,24,7,logreg,0.79545088,0.87713807,0.081687191,128,layer_24/width_16k/topk_32,TRUE
62_wikidata_occupation_ispolitician,24,7,logreg,0.6316773116562636,0.7174561700617732,0.085778858,128,layer_24/width_16k/standard_new,TRUE
63_wikidata_occupation_issinger,24,7,logreg,0.7915073950420155,0.8589811051434655,0.06747371,128,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
64_wikidata_occupation_isresearcher,24,7,logreg,0.6538333949207202,0.7571469363074443,0.103313541,128,layer_24/width_16k/jumprelu_32,TRUE
5_hist_fig_ismale,24,10,logreg,0.6667797503587769,0.6163332278028391,0.050446523,128,layer_24/width_16k/jumprelu_32,FALSE
6_hist_fig_isamerican,24,10,logreg,0.9362802589943318,0.9317277698942391,0.004552489,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,10,logreg,0.6001669738836133,0.6250637602390025,0.024896786,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
21_headline_istrump,24,10,logreg,0.8443298786827865,0.8358285134824582,0.008501365,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,10,logreg,0.6676481805039423,0.8015124773468381,0.133864297,128,layer_24/width_16k/p_anneal,TRUE
23_headline_ischina,24,10,logreg,0.7412821919864174,0.7738212491733619,0.032539057,128,layer_24/width_16k/standard,TRUE
24_headline_isiran,24,10,logreg,0.6928804384514127,0.7569742127113781,0.064093774,16,layer_24/width_16k/batch_topk_32,TRUE
26_headline_isfrontpage,24,10,logreg,0.5823232672241034,0.6164815597514194,0.034158293,128,layer_24/width_16k/standard,TRUE
36_sciq_tf,24,10,logreg,0.7469138758672116,0.716021136,0.03089274,128,layer_24/width_16k/jumprelu_32,FALSE
41_truthqa_tf,24,10,logreg,0.6472335437811343,0.674944724,0.02771118,128,layer_24/width_16k/standard_new,TRUE
42_temp_sense,24,10,logreg,0.5822515277594005,0.6902368782578724,0.10798535,128,layer_24/width_16k/standard_new,TRUE
44_phys_tf,24,10,logreg,0.5523237332724791,0.6286536183835192,0.076329885,128,layer_24/width_16k/standard,TRUE
47_reasoning_tf,24,10,logreg,0.4906286723786083,0.5072118719018857,0.0165832,16,layer_24/width_16k/p_anneal,TRUE
48_cm_correct,24,10,logreg,0.6607334958610083,0.6667779022359073,0.006044406,16,layer_24/width_16k/topk_32,TRUE
49_cm_isshort,24,10,logreg,0.9999326640450106,0.9997176389667868,0.000215025,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,10,logreg,0.6625221573861437,0.6471894872342921,0.01533267,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,10,logreg,0.5998299726959935,0.5991959861985399,0.000633986,16,layer_24/width_16k/standard_new,FALSE
52_virtue_is,24,10,logreg,0.6703094722591113,0.7008543342824023,0.030544862,128,layer_24/width_16k/standard_new,TRUE
54_cs_tf,24,10,logreg,0.5158869463064059,0.5265038497202905,0.010616903,128,layer_24/width_16k/standard,TRUE
56_wikidatasex_or_gender,24,10,logreg,0.7288265384015826,0.8325872273817885,0.103760689,128,layer_24/width_16k/topk_32,TRUE
57_wikidatais_alive,24,10,logreg,0.8575521532238495,0.7990932948495226,0.058458858,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,10,logreg,0.5764856527559513,0.6027060303644902,0.026220378,128,layer_24/width_16k/standard,TRUE
59_wikidata_occupation_isjournalist,24,10,logreg,0.6530297362061819,0.6576322255138872,0.004602489,16,layer_24/width_16k/batch_topk_32,TRUE
60_wikidata_occupation_isathlete,24,10,logreg,0.6799642073546809,0.722021577,0.042057369,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
61_wikidata_occupation_isactor,24,10,logreg,0.8321779925785872,0.8780795324712091,0.04590154,16,layer_24/width_16k/topk_32,TRUE
62_wikidata_occupation_ispolitician,24,10,logreg,0.7050979242287899,0.7767206252590922,0.071622701,128,layer_24/width_16k/standard_new,TRUE
63_wikidata_occupation_issinger,24,10,logreg,0.8108025034629891,0.8394037592388501,0.028601256,128,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
64_wikidata_occupation_isresearcher,24,10,logreg,0.7459284999736745,0.7280956141736429,0.017832886,128,layer_24/width_16k/jumprelu_32,FALSE
5_hist_fig_ismale,24,14,logreg,0.8892066325035943,0.8609111933960838,0.028295439,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,14,logreg,0.9331244660007894,0.92582087,0.007303596,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,14,logreg,0.6142045238706904,0.6482397905145644,0.034035267,128,layer_24/width_16k/standard_new,TRUE
21_headline_istrump,24,14,logreg,0.8484570601858559,0.8424786834919477,0.005978377,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,14,logreg,0.6883529901072457,0.8321172870681203,0.143764297,128,layer_24/width_16k/standard,TRUE
23_headline_ischina,24,14,logreg,0.6895551143362515,0.7361704833706642,0.046615369,128,layer_24/width_16k/p_anneal,TRUE
24_headline_isiran,24,14,logreg,0.7413374582521718,0.8478617897564515,0.106524332,128,layer_24/width_16k/batch_topk_32,TRUE
26_headline_isfrontpage,24,14,logreg,0.556912002,0.589607723,0.032695721,128,layer_24/width_16k/p_anneal,TRUE
36_sciq_tf,24,14,logreg,0.7487032712461666,0.6948692293477918,0.053834042,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,14,logreg,0.6703384698203352,0.6776731040979745,0.007334634,128,layer_24/width_16k/standard_new,TRUE
42_temp_sense,24,14,logreg,0.6845088202505083,0.6995909567840515,0.015082137,128,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
44_phys_tf,24,14,logreg,0.5893171828149315,0.5907666667310524,0.001449484,128,layer_24/width_16k/p_anneal,TRUE
47_reasoning_tf,24,14,logreg,0.4976721537725244,0.5099691698109008,0.012297016,128,layer_24/width_16k/gated,TRUE
48_cm_correct,24,14,logreg,0.6367665740155903,0.6530832076201809,0.016316634,128,layer_24/width_16k/batch_topk_32,TRUE
49_cm_isshort,24,14,logreg,0.9999595979497006,0.9998779890273826,8.16089E-05,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,14,logreg,0.6586625537057533,0.6766073416481074,0.017944788,128,layer_24/width_16k/standard_new,TRUE
51_just_is,24,14,logreg,0.6483099709684709,0.6272232395168752,0.021086731,128,layer_24/width_16k/topk_32,FALSE
52_virtue_is,24,14,logreg,0.683352266,0.6727605806431132,0.010591685,16,layer_24/width_16k/standard_new,FALSE
54_cs_tf,24,14,logreg,0.5067611462979167,0.5590350412937928,0.052273895,16,layer_24/width_16k/topk_32,TRUE
56_wikidatasex_or_gender,24,14,logreg,0.7825149584164715,0.8911584861367849,0.108643528,16,layer_24/width_16k/topk_32,TRUE
57_wikidatais_alive,24,14,logreg,0.8882575867324174,0.82986753,0.058390057,16,layer_24/width_16k/batch_topk_32,FALSE
58_wikidatapolitical_party,24,14,logreg,0.5683457565152122,0.6165546455397755,0.048208889,128,layer_24/width_16k/standard,TRUE
59_wikidata_occupation_isjournalist,24,14,logreg,0.6760366923301822,0.6738967124711692,0.00213998,16,layer_24/width_16k/topk_32,FALSE
60_wikidata_occupation_isathlete,24,14,logreg,0.7220198648604749,0.7580005603742326,0.035980696,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
61_wikidata_occupation_isactor,24,14,logreg,0.7889805249650782,0.8859628285092421,0.096982304,128,layer_24/width_16k/topk_32,TRUE
62_wikidata_occupation_ispolitician,24,14,logreg,0.8030913978494624,0.8107072085241853,0.007615811,128,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
63_wikidata_occupation_issinger,24,14,logreg,0.835231703,0.8146318584933242,0.020599844,128,layer_24/width_16k/standard_new,FALSE
64_wikidata_occupation_isresearcher,24,14,logreg,0.8409653229797115,0.8479121464732976,0.006946823,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
5_hist_fig_ismale,24,20,logreg,0.9168697288148172,0.9069796260171259,0.009890103,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,20,logreg,0.9536735935304091,0.9470178020236832,0.006655792,128,layer_24/width_16k/jumprelu_32,FALSE
7_hist_fig_ispolitician,24,20,logreg,0.6114279536789182,0.6356424492667335,0.024214496,128,layer_24/width_16k/standard,TRUE
21_headline_istrump,24,20,logreg,0.8242466854158297,0.8210539223991183,0.003192763,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,20,logreg,0.8324562401055804,0.8271809620144066,0.005275278,128,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,20,logreg,0.7932428684204911,0.7784368250987979,0.014806043,128,layer_24/width_16k/p_anneal,FALSE
24_headline_isiran,24,20,logreg,0.6980148639045147,0.8067628196895362,0.108747956,128,layer_24/width_16k/batch_topk_32,TRUE
26_headline_isfrontpage,24,20,logreg,0.5864184742182874,0.6465121232216935,0.060093649,128,layer_24/width_16k/standard,TRUE
36_sciq_tf,24,20,logreg,0.7832988845700196,0.7292338498227543,0.054065035,128,layer_24/width_16k/jumprelu_32,FALSE
41_truthqa_tf,24,20,logreg,0.671052452,0.6817970554864462,0.010744604,128,layer_24/width_16k/p_anneal,TRUE
42_temp_sense,24,20,logreg,0.6989207963062782,0.6648929944894181,0.034027802,128,layer_24/width_16k/standard_new,FALSE
44_phys_tf,24,20,logreg,0.6230225845124169,0.6021050049938605,0.02091758,128,layer_24/width_16k/standard,FALSE
47_reasoning_tf,24,20,logreg,0.5202361107850273,0.5293324523479713,0.009096342,16,layer_24/width_16k/gated,TRUE
48_cm_correct,24,20,logreg,0.6684896274531634,0.6795429205774485,0.011053293,128,layer_24/width_16k/batch_topk_32,TRUE
