dataset,layer,frac,method,baseline_test_auc,sae_best_test_auc,sae_best_k,sae_best_sae_id,sae_better
54_cs_tf,24,0.05,logreg,0.6298967820279295,0.6232989273426432,128,layer_24/width_16k/jumprelu_32,False
56_wikidatasex_or_gender,24,0.05,logreg,0.9964055859137826,0.9582513661202186,128,layer_24/width_16k/p_anneal,False
57_wikidatais_alive,24,0.05,logreg,0.970006071645416,0.9499048775551509,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,0.05,logreg,0.9108843537414966,0.8270068027210885,128,layer_24/width_16k/standard_new,False
59_wikidata_occupation_isjournalist,24,0.05,logreg,0.9747368421052632,0.9726315789473684,128,layer_24/width_16k/batch_topk_32,False
60_wikidata_occupation_isathlete,24,0.05,logreg,0.9326315789473684,0.9705263157894738,128,layer_24/width_16k/jumprelu_32,True
61_wikidata_occupation_isactor,24,0.05,logreg,0.8252631578947368,0.8968421052631579,128,layer_24/width_16k/batch_topk_32,True
62_wikidata_occupation_ispolitician,24,0.05,logreg,0.9894736842105264,0.9705263157894737,128,layer_24/width_16k/jumprelu_32,False
63_wikidata_occupation_issinger,24,0.05,logreg,0.9326315789473684,0.9915789473684211,128,layer_24/width_16k/standard_new,True
64_wikidata_occupation_isresearcher,24,0.05,logreg,0.9642105263157896,0.9431578947368421,128,layer_24/width_16k/matryoshka_batch_topk_32,False
5_hist_fig_ismale,24,0.1,logreg,0.9928689634421544,0.9655311741064713,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,0.1,logreg,0.9692578821810054,0.9691418255281653,128,layer_24/width_16k/topk_32,False
7_hist_fig_ispolitician,24,0.1,logreg,0.6187538954200607,0.6493756581916654,128,layer_24/width_16k/standard_new,True
21_headline_istrump,24,0.1,logreg,0.9738958499000624,0.9417567538524361,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,0.1,logreg,0.8888888888888888,0.9311111111111112,16,layer_24/width_16k/standard_new,True
23_headline_ischina,24,0.1,logreg,0.9544444444444444,0.9333333333333335,128,layer_24/width_16k/standard_new,False
24_headline_isiran,24,0.1,logreg,0.9866666666666668,0.96,128,layer_24/width_16k/jumprelu_32,False
26_headline_isfrontpage,24,0.1,logreg,0.7135270476477036,0.7040168497066346,128,layer_24/width_16k/gated,False
36_sciq_tf,24,0.1,logreg,0.9236948999548668,0.8968772163596896,128,layer_24/width_16k/standard_new,False
41_truthqa_tf,24,0.1,logreg,0.8155555555555556,0.8922222222222222,128,layer_24/width_16k/jumprelu_32,True
42_temp_sense,24,0.1,logreg,0.8564102564102564,0.8815384615384616,128,layer_24/width_16k/gated,True
44_phys_tf,24,0.1,logreg,0.7354359646671969,0.7649766812095682,128,layer_24/width_16k/standard_new,True
47_reasoning_tf,24,0.1,logreg,0.5838881019830029,0.5796033994334278,128,layer_24/width_16k/jumprelu_32,False
48_cm_correct,24,0.1,logreg,0.7757484579509554,0.7620623697049153,128,layer_24/width_16k/standard_new,False
49_cm_isshort,24,0.1,logreg,0.9999828064218016,0.9999355240817555,128,layer_24/width_16k/gated,False
50_deon_isvalid,24,0.1,logreg,0.8029572954501494,0.7984353843839326,128,layer_24/width_16k/standard_new,False
51_just_is,24,0.1,logreg,0.8394614111629306,0.8077414085838939,128,layer_24/width_16k/p_anneal,False
52_virtue_is,24,0.1,logreg,0.922387700019279,0.8159870830923462,128,layer_24/width_16k/gated,False
54_cs_tf,24,0.1,logreg,0.6415439833222292,0.5933718756044617,128,layer_24/width_16k/standard_new,False
56_wikidatasex_or_gender,24,0.1,logreg,0.9961443400889768,0.9581895162156935,128,layer_24/width_16k/p_anneal,False
57_wikidatais_alive,24,0.1,logreg,0.9768295041801888,0.9524769498592275,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,0.1,logreg,0.8762216154067259,0.8418726645587812,128,layer_24/width_16k/standard_new,False
59_wikidata_occupation_isjournalist,24,0.1,logreg,0.8611111111111112,0.8388888888888888,128,layer_24/width_16k/matryoshka_batch_topk_32,False
60_wikidata_occupation_isathlete,24,0.1,logreg,0.9522222222222222,0.9866666666666666,128,layer_24/width_16k/matryoshka_batch_topk_32,True
61_wikidata_occupation_isactor,24,0.1,logreg,0.97,0.9644444444444444,128,layer_24/width_16k/jumprelu_32,False
62_wikidata_occupation_ispolitician,24,0.1,logreg,0.9244444444444444,0.88,128,layer_24/width_16k/batch_topk_32,False
63_wikidata_occupation_issinger,24,0.1,logreg,0.898888888888889,0.9488888888888889,128,layer_24/width_16k/batch_topk_32,True
64_wikidata_occupation_isresearcher,24,0.1,logreg,0.9466666666666668,0.98,128,layer_24/width_16k/gated,True
5_hist_fig_ismale,24,0.15,logreg,0.9917620415545728,0.9691547733041509,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,0.15,logreg,0.9792865502409072,0.9723162038514735,128,layer_24/width_16k/standard_new,False
7_hist_fig_ispolitician,24,0.15,logreg,0.6497818916906053,0.7066542033347013,128,layer_24/width_16k/topk_32,True
21_headline_istrump,24,0.15,logreg,0.9598893499308436,0.9367805085647409,128,layer_24/width_16k/standard,False
22_headline_isobama,24,0.15,logreg,0.9654901960784312,0.9176470588235295,128,layer_24/width_16k/standard_new,False
23_headline_ischina,24,0.15,logreg,0.9788235294117646,0.9419607843137255,128,layer_24/width_16k/jumprelu_32,False
24_headline_isiran,24,0.15,logreg,0.9733333333333334,0.9749019607843137,128,layer_24/width_16k/standard_new,True
26_headline_isfrontpage,24,0.15,logreg,0.7306400376939796,0.733634277202742,128,layer_24/width_16k/jumprelu_32,True
36_sciq_tf,24,0.15,logreg,0.9221208943200644,0.8962989983736871,128,layer_24/width_16k/standard_new,False
41_truthqa_tf,24,0.15,logreg,0.6635294117647058,0.7270588235294118,128,layer_24/width_16k/batch_topk_32,True
42_temp_sense,24,0.15,logreg,0.8902439024390244,0.8532889874353289,128,layer_24/width_16k/p_anneal,False
44_phys_tf,24,0.15,logreg,0.7974313376803004,0.7810739744349704,128,layer_24/width_16k/standard_new,False
47_reasoning_tf,24,0.15,logreg,0.6426976555363848,0.6106262052166853,128,layer_24/width_16k/standard,False
48_cm_correct,24,0.15,logreg,0.8028088094478136,0.7716808779049443,128,layer_24/width_16k/standard_new,False
49_cm_isshort,24,0.15,logreg,1.0,0.9999756813034821,128,layer_24/width_16k/batch_topk_32,False
50_deon_isvalid,24,0.15,logreg,0.8564680133144864,0.827826668490569,128,layer_24/width_16k/standard_new,False
51_just_is,24,0.15,logreg,0.8300867873481982,0.7904579514538022,128,layer_24/width_16k/standard_new,False
52_virtue_is,24,0.15,logreg,0.9410940073224178,0.8610101670001225,128,layer_24/width_16k/gated,False
54_cs_tf,24,0.15,logreg,0.6410621190704179,0.6129314668733756,128,layer_24/width_16k/jumprelu_32,False
56_wikidatasex_or_gender,24,0.15,logreg,0.9983706473333028,0.978274284498351,128,layer_24/width_16k/p_anneal,False
57_wikidatais_alive,24,0.15,logreg,0.9813764382229112,0.9609198546957883,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,0.15,logreg,0.9203793899000255,0.869802614714176,128,layer_24/width_16k/p_anneal,False
59_wikidata_occupation_isjournalist,24,0.15,logreg,0.9482352941176472,0.9639215686274509,128,layer_24/width_16k/topk_32,True
60_wikidata_occupation_isathlete,24,0.15,logreg,0.9576470588235294,0.9317647058823529,128,layer_24/width_16k/jumprelu_32,False
61_wikidata_occupation_isactor,24,0.15,logreg,0.9788235294117648,0.9701960784313726,128,layer_24/width_16k/batch_topk_32,False
62_wikidata_occupation_ispolitician,24,0.15,logreg,0.935686274509804,0.9192156862745098,128,layer_24/width_16k/standard_new,False
63_wikidata_occupation_issinger,24,0.15,logreg,0.916078431372549,0.8964705882352941,128,layer_24/width_16k/jumprelu_32,False
64_wikidata_occupation_isresearcher,24,0.15,logreg,0.9882352941176472,0.9780392156862745,128,layer_24/width_16k/matryoshka_batch_topk_32,False
5_hist_fig_ismale,24,0.2,logreg,0.9900229291228884,0.9761904761904763,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,0.2,logreg,0.9768398928039318,0.9652507691414639,128,layer_24/width_16k/standard_new,False
7_hist_fig_ispolitician,24,0.2,logreg,0.6454693214140594,0.6535803777016698,128,layer_24/width_16k/standard,True
21_headline_istrump,24,0.2,logreg,0.9694036493101914,0.9382606760705094,128,layer_24/width_16k/p_anneal,False
22_headline_isobama,24,0.2,logreg,0.94625,0.951875,128,layer_24/width_16k/p_anneal,True
23_headline_ischina,24,0.2,logreg,0.988125,0.984375,128,layer_24/width_16k/standard_new,False
24_headline_isiran,24,0.2,logreg,0.9575,0.94,128,layer_24/width_16k/standard_new,False
26_headline_isfrontpage,24,0.2,logreg,0.7353427758750798,0.7626424604787058,128,layer_24/width_16k/standard_new,True
36_sciq_tf,24,0.2,logreg,0.919775884754552,0.9055673264836208,128,layer_24/width_16k/standard_new,False
41_truthqa_tf,24,0.2,logreg,0.901875,0.9025000000000001,128,layer_24/width_16k/topk_32,True
42_temp_sense,24,0.2,logreg,0.9036860879904876,0.8558263971462545,128,layer_24/width_16k/standard,False
44_phys_tf,24,0.2,logreg,0.8221106402739885,0.814257173816296,128,layer_24/width_16k/standard_new,False
47_reasoning_tf,24,0.2,logreg,0.712650165282593,0.6849955655889705,128,layer_24/width_16k/standard_new,False
48_cm_correct,24,0.2,logreg,0.8199422902033628,0.7778245389988584,128,layer_24/width_16k/standard,False
49_cm_isshort,24,0.2,logreg,1.0,0.9998669723883051,128,layer_24/width_16k/matryoshka_batch_topk_32,False
50_deon_isvalid,24,0.2,logreg,0.8546250072560515,0.8123633443625315,128,layer_24/width_16k/standard_new,False
51_just_is,24,0.2,logreg,0.8581550763336624,0.8211044677928059,128,layer_24/width_16k/standard_new,False
52_virtue_is,24,0.2,logreg,0.9548829565670152,0.8976900464268668,128,layer_24/width_16k/jumprelu_32,False
54_cs_tf,24,0.2,logreg,0.6325801551827558,0.6291407867494825,128,layer_24/width_16k/jumprelu_32,False
56_wikidatasex_or_gender,24,0.2,logreg,0.997772392175074,0.9777335964861361,128,layer_24/width_16k/p_anneal,False
57_wikidatais_alive,24,0.2,logreg,0.9840052437065848,0.9629360886979741,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,0.2,logreg,0.9495943907708616,0.8941747177041295,128,layer_24/width_16k/standard_new,False
59_wikidata_occupation_isjournalist,24,0.2,logreg,0.948125,0.88875,128,layer_24/width_16k/topk_32,False
60_wikidata_occupation_isathlete,24,0.2,logreg,0.9775,0.960625,16,layer_24/width_16k/batch_topk_32,False
61_wikidata_occupation_isactor,24,0.2,logreg,0.93875,0.884375,16,layer_24/width_16k/batch_topk_32,False
62_wikidata_occupation_ispolitician,24,0.2,logreg,0.975625,0.9475,128,layer_24/width_16k/batch_topk_32,False
63_wikidata_occupation_issinger,24,0.2,logreg,0.95,0.94875,128,layer_24/width_16k/batch_topk_32,False
64_wikidata_occupation_isresearcher,24,0.2,logreg,0.930625,0.8875,16,layer_24/width_16k/matryoshka_batch_topk_32,False
5_hist_fig_ismale,24,0.25,logreg,0.9871303780102808,0.9778516057585824,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,0.25,logreg,0.9780478835060578,0.9630109419679015,128,layer_24/width_16k/batch_topk_32,False
7_hist_fig_ispolitician,24,0.25,logreg,0.6642865407183353,0.6818616634435795,128,layer_24/width_16k/standard_new,True
21_headline_istrump,24,0.25,logreg,0.9735417596403364,0.9517445992628222,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,0.25,logreg,0.9728,0.9578666666666666,128,layer_24/width_16k/standard_new,False
23_headline_ischina,24,0.25,logreg,0.9893333333333334,0.976,128,layer_24/width_16k/standard_new,False
24_headline_isiran,24,0.25,logreg,0.9925333333333332,0.9765333333333333,128,layer_24/width_16k/p_anneal,False
26_headline_isfrontpage,24,0.25,logreg,0.700969818680683,0.7442211698980181,128,layer_24/width_16k/gated,True
36_sciq_tf,24,0.25,logreg,0.9309804796614932,0.8896712451033868,128,layer_24/width_16k/standard_new,False
41_truthqa_tf,24,0.25,logreg,0.9088,0.8074666666666667,128,layer_24/width_16k/standard_new,False
42_temp_sense,24,0.25,logreg,0.9474474474474476,0.8638638638638639,128,layer_24/width_16k/topk_32,False
44_phys_tf,24,0.25,logreg,0.7811069238524984,0.7735553957785822,128,layer_24/width_16k/standard_new,False
47_reasoning_tf,24,0.25,logreg,0.6352298495155637,0.6631278774135917,128,layer_24/width_16k/standard_new,True
48_cm_correct,24,0.25,logreg,0.8111105601560304,0.7632931687079552,128,layer_24/width_16k/p_anneal,False
49_cm_isshort,24,0.25,logreg,0.9999938017553428,0.9999876035106857,128,layer_24/width_16k/gated,False
50_deon_isvalid,24,0.25,logreg,0.8714835291978644,0.813753078461513,128,layer_24/width_16k/jumprelu_32,False
51_just_is,24,0.25,logreg,0.8645456273450025,0.8302982595329003,128,layer_24/width_16k/standard,False
52_virtue_is,24,0.25,logreg,0.936717122621858,0.8823311577095775,128,layer_24/width_16k/standard_new,False
54_cs_tf,24,0.25,logreg,0.6559850250409084,0.6250103304077619,128,layer_24/width_16k/jumprelu_32,False
56_wikidatasex_or_gender,24,0.25,logreg,0.9978078874729344,0.9782255665195616,128,layer_24/width_16k/standard,False
57_wikidatais_alive,24,0.25,logreg,0.9854361911373366,0.9621411216343532,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,0.25,logreg,0.9208285545476662,0.878879505091579,128,layer_24/width_16k/standard,False
59_wikidata_occupation_isjournalist,24,0.25,logreg,0.8810666666666667,0.8725333333333332,128,layer_24/width_16k/jumprelu_32,False
60_wikidata_occupation_isathlete,24,0.25,logreg,0.9728,0.9440000000000001,128,layer_24/width_16k/gated,False
61_wikidata_occupation_isactor,24,0.25,logreg,0.8938666666666666,0.9173333333333333,128,layer_24/width_16k/topk_32,True
62_wikidata_occupation_ispolitician,24,0.25,logreg,0.9936,0.9765333333333333,128,layer_24/width_16k/batch_topk_32,False
63_wikidata_occupation_issinger,24,0.25,logreg,0.9530666666666666,0.9354666666666667,128,layer_24/width_16k/matryoshka_batch_topk_32,False
64_wikidata_occupation_isresearcher,24,0.25,logreg,0.96,0.9429333333333334,16,layer_24/width_16k/matryoshka_batch_topk_32,False
5_hist_fig_ismale,24,0.3,logreg,0.994599164217894,0.9666942307408337,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,0.3,logreg,0.977341777292125,0.9738282807400953,128,layer_24/width_16k/topk_32,False
7_hist_fig_ispolitician,24,0.3,logreg,0.6743559974011015,0.6820197944507612,128,layer_24/width_16k/standard_new,True
21_headline_istrump,24,0.3,logreg,0.97931217790641,0.9555806175337044,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,0.3,logreg,0.990952380952381,0.9923809523809524,128,layer_24/width_16k/standard_new,True
23_headline_ischina,24,0.3,logreg,0.9738095238095238,0.9299999999999999,128,layer_24/width_16k/gated,False
24_headline_isiran,24,0.3,logreg,0.9933333333333332,0.96,128,layer_24/width_16k/standard,False
26_headline_isfrontpage,24,0.3,logreg,0.7392758523943828,0.7729507833611434,128,layer_24/width_16k/gated,True
36_sciq_tf,24,0.3,logreg,0.9277744348134256,0.9098820897505944,128,layer_24/width_16k/standard_new,False
41_truthqa_tf,24,0.3,logreg,0.8838095238095238,0.822857142857143,128,layer_24/width_16k/standard_new,False
42_temp_sense,24,0.3,logreg,0.9464446444644464,0.885013501350135,128,layer_24/width_16k/jumprelu_32,False
44_phys_tf,24,0.3,logreg,0.8020776420903413,0.7904730438121115,128,layer_24/width_16k/standard_new,False
47_reasoning_tf,24,0.3,logreg,0.7023112480739598,0.6718952234206472,128,layer_24/width_16k/standard_new,False
48_cm_correct,24,0.3,logreg,0.7902736964900104,0.7795883108636907,128,layer_24/width_16k/standard_new,False
49_cm_isshort,24,0.3,logreg,1.0,0.9999464715523989,128,layer_24/width_16k/jumprelu_32,False
50_deon_isvalid,24,0.3,logreg,0.8769214866880288,0.8548087004031246,128,layer_24/width_16k/standard_new,False
51_just_is,24,0.3,logreg,0.8526823289673808,0.8194393171985056,128,layer_24/width_16k/standard,False
52_virtue_is,24,0.3,logreg,0.956671544554128,0.8904025497296493,128,layer_24/width_16k/gated,False
54_cs_tf,24,0.3,logreg,0.6844331891141595,0.6530729020540158,128,layer_24/width_16k/standard_new,False
56_wikidatasex_or_gender,24,0.3,logreg,0.9981338875681104,0.979251266224657,128,layer_24/width_16k/standard,False
57_wikidatais_alive,24,0.3,logreg,0.9832031423044548,0.9594900400171291,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,0.3,logreg,0.9576834469661591,0.9141371688303602,128,layer_24/width_16k/standard,False
59_wikidata_occupation_isjournalist,24,0.3,logreg,0.930952380952381,0.9547619047619047,128,layer_24/width_16k/standard,True
60_wikidata_occupation_isathlete,24,0.3,logreg,0.9604761904761904,0.9571428571428572,128,layer_24/width_16k/matryoshka_batch_topk_32,False
61_wikidata_occupation_isactor,24,0.3,logreg,0.9538095238095238,0.9438095238095238,128,layer_24/width_16k/topk_32,False
62_wikidata_occupation_ispolitician,24,0.3,logreg,0.9776190476190476,0.9600000000000001,128,layer_24/width_16k/standard_new,False
63_wikidata_occupation_issinger,24,0.3,logreg,0.9440476190476192,0.9266666666666667,128,layer_24/width_16k/matryoshka_batch_topk_32,False
64_wikidata_occupation_isresearcher,24,0.3,logreg,0.9623809523809524,0.9404761904761905,128,layer_24/width_16k/jumprelu_32,False
5_hist_fig_ismale,24,0.35,logreg,0.9923042732655664,0.9773777309271486,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,0.35,logreg,0.9767527405063616,0.9739564618389704,128,layer_24/width_16k/topk_32,False
7_hist_fig_ispolitician,24,0.35,logreg,0.6604564984528507,0.6949638033477008,128,layer_24/width_16k/matryoshka_batch_topk_32,True
21_headline_istrump,24,0.35,logreg,0.9720048568737876,0.9375196906041972,128,layer_24/width_16k/jumprelu_32,False
22_headline_isobama,24,0.35,logreg,0.9832967032967032,0.9683516483516483,128,layer_24/width_16k/standard_new,False
23_headline_ischina,24,0.35,logreg,0.9762637362637364,0.9494505494505494,128,layer_24/width_16k/gated,False
24_headline_isiran,24,0.35,logreg,0.9986813186813188,0.9815384615384616,128,layer_24/width_16k/p_anneal,False
26_headline_isfrontpage,24,0.35,logreg,0.7433486203379035,0.7603170251137158,128,layer_24/width_16k/gated,True
36_sciq_tf,24,0.35,logreg,0.9247491097718188,0.8826925336634825,128,layer_24/width_16k/standard_new,False
41_truthqa_tf,24,0.35,logreg,0.887032967032967,0.807032967032967,128,layer_24/width_16k/standard_new,False
42_temp_sense,24,0.35,logreg,0.9282436378806842,0.8702544847726323,128,layer_24/width_16k/p_anneal,False
44_phys_tf,24,0.35,logreg,0.815200380103166,0.8018712247257791,128,layer_24/width_16k/standard_new,False
47_reasoning_tf,24,0.35,logreg,0.6884342142654163,0.6977834612105713,128,layer_24/width_16k/jumprelu_32,True
48_cm_correct,24,0.35,logreg,0.7607070055125176,0.7802366789337358,128,layer_24/width_16k/standard_new,True
49_cm_isshort,24,0.35,logreg,0.999998297028826,0.9999761584035667,128,layer_24/width_16k/gated,False
50_deon_isvalid,24,0.35,logreg,0.8699211013455175,0.8494931106301165,128,layer_24/width_16k/standard_new,False
51_just_is,24,0.35,logreg,0.8567077480079495,0.8137528546054301,128,layer_24/width_16k/standard_new,False
52_virtue_is,24,0.35,logreg,0.9605016368518966,0.9154356852813209,128,layer_24/width_16k/gated,False
54_cs_tf,24,0.35,logreg,0.6495728096810506,0.6254621438022918,128,layer_24/width_16k/standard_new,False
56_wikidatasex_or_gender,24,0.35,logreg,0.9992166332600488,0.9875308450653856,128,layer_24/width_16k/p_anneal,False
57_wikidatais_alive,24,0.35,logreg,0.9847277545132992,0.9615503168377868,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,0.35,logreg,0.9526605978807112,0.8855641386439996,128,layer_24/width_16k/standard_new,False
59_wikidata_occupation_isjournalist,24,0.35,logreg,0.938021978021978,0.9164835164835164,128,layer_24/width_16k/p_anneal,False
60_wikidata_occupation_isathlete,24,0.35,logreg,0.9652747252747252,0.9406593406593406,128,layer_24/width_16k/batch_topk_32,False
61_wikidata_occupation_isactor,24,0.35,logreg,0.9749450549450548,0.9542857142857143,128,layer_24/width_16k/topk_32,False
62_wikidata_occupation_ispolitician,24,0.35,logreg,0.9709890109890108,0.9556043956043956,128,layer_24/width_16k/batch_topk_32,False
63_wikidata_occupation_issinger,24,0.35,logreg,0.898021978021978,0.898021978021978,128,layer_24/width_16k/gated,False
64_wikidata_occupation_isresearcher,24,0.35,logreg,0.9802197802197802,0.9657142857142857,128,layer_24/width_16k/matryoshka_batch_topk_32,False
5_hist_fig_ismale,24,0.4,logreg,0.9945866419900228,0.9783578727053386,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,0.4,logreg,0.9813713947956184,0.974460965522142,128,layer_24/width_16k/topk_32,False
7_hist_fig_ispolitician,24,0.4,logreg,0.6858152901524365,0.7026464408624552,128,layer_24/width_16k/standard_new,True
21_headline_istrump,24,0.4,logreg,0.9737536114623656,0.9328352785569975,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,0.4,logreg,0.9933333333333334,0.97375,128,layer_24/width_16k/standard_new,False
23_headline_ischina,24,0.4,logreg,0.9633333333333332,0.9433333333333334,128,layer_24/width_16k/standard_new,False
24_headline_isiran,24,0.4,logreg,0.9833333333333334,0.9750000000000001,128,layer_24/width_16k/standard_new,False
26_headline_isfrontpage,24,0.4,logreg,0.7297632947841521,0.7517817085991967,128,layer_24/width_16k/standard_new,True
36_sciq_tf,24,0.4,logreg,0.9316959217324038,0.8959688893410785,128,layer_24/width_16k/standard_new,False
41_truthqa_tf,24,0.4,logreg,0.8858333333333334,0.8841666666666667,128,layer_24/width_16k/standard_new,False
42_temp_sense,24,0.4,logreg,0.9514466904478794,0.8983353151010701,128,layer_24/width_16k/standard_new,False
44_phys_tf,24,0.4,logreg,0.7736362036081517,0.7753682520764394,128,layer_24/width_16k/standard_new,True
47_reasoning_tf,24,0.4,logreg,0.7131430110422838,0.7176676541879882,128,layer_24/width_16k/standard_new,True
48_cm_correct,24,0.4,logreg,0.799811533747087,0.7875660721985631,128,layer_24/width_16k/standard,False
49_cm_isshort,24,0.4,logreg,0.9999935401455728,0.9999838503639321,128,layer_24/width_16k/jumprelu_32,False
50_deon_isvalid,24,0.4,logreg,0.8738939517997961,0.8293968595417702,128,layer_24/width_16k/standard_new,False
51_just_is,24,0.4,logreg,0.858083458089272,0.8228804813883519,128,layer_24/width_16k/p_anneal,False
52_virtue_is,24,0.4,logreg,0.9549341926607166,0.8934428010210548,128,layer_24/width_16k/standard_new,False
54_cs_tf,24,0.4,logreg,0.6846630136189881,0.6456366105789806,128,layer_24/width_16k/standard_new,False
56_wikidatasex_or_gender,24,0.4,logreg,0.9991359944703646,0.9876762127165465,128,layer_24/width_16k/standard,False
57_wikidatais_alive,24,0.4,logreg,0.98935738983122,0.9638377349166436,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,0.4,logreg,0.9516616314199396,0.9120328788002504,128,layer_24/width_16k/standard_new,False
59_wikidata_occupation_isjournalist,24,0.4,logreg,0.9383333333333332,0.8891666666666667,128,layer_24/width_16k/jumprelu_32,False
60_wikidata_occupation_isathlete,24,0.4,logreg,0.9795833333333334,0.9650000000000001,128,layer_24/width_16k/matryoshka_batch_topk_32,False
61_wikidata_occupation_isactor,24,0.4,logreg,0.9554166666666666,0.9404166666666666,128,layer_24/width_16k/standard_new,False
62_wikidata_occupation_ispolitician,24,0.4,logreg,0.9804166666666668,0.9658333333333333,128,layer_24/width_16k/gated,False
63_wikidata_occupation_issinger,24,0.4,logreg,0.8970833333333333,0.8779166666666667,128,layer_24/width_16k/p_anneal,False
64_wikidata_occupation_isresearcher,24,0.4,logreg,0.9841666666666666,0.9550000000000001,128,layer_24/width_16k/gated,False
5_hist_fig_ismale,24,0.45,logreg,0.9946805261204024,0.980061371315254,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,0.45,logreg,0.9822590220375966,0.976383478303094,128,layer_24/width_16k/topk_32,False
7_hist_fig_ispolitician,24,0.45,logreg,0.6794531405415651,0.6979773154827078,128,layer_24/width_16k/standard_new,True
21_headline_istrump,24,0.45,logreg,0.9771165506751942,0.9537992102241666,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,0.45,logreg,0.9717171717171716,0.9604040404040405,128,layer_24/width_16k/standard_new,False
23_headline_ischina,24,0.45,logreg,0.9688888888888888,0.9797979797979799,128,layer_24/width_16k/standard,True
24_headline_isiran,24,0.45,logreg,0.9838383838383838,0.972929292929293,128,layer_24/width_16k/p_anneal,False
26_headline_isfrontpage,24,0.45,logreg,0.7554279466611531,0.7707425803834218,128,layer_24/width_16k/standard_new,True
36_sciq_tf,24,0.45,logreg,0.9270342366727288,0.8787532757213635,128,layer_24/width_16k/gated,False
41_truthqa_tf,24,0.45,logreg,0.9175757575757576,0.8533333333333333,128,layer_24/width_16k/jumprelu_32,False
42_temp_sense,24,0.45,logreg,0.922132719601074,0.8722669735327963,128,layer_24/width_16k/standard_new,False
44_phys_tf,24,0.45,logreg,0.7980228975468704,0.7944593512936065,128,layer_24/width_16k/standard_new,False
47_reasoning_tf,24,0.45,logreg,0.702003557229546,0.6896578782172003,128,layer_24/width_16k/standard_new,False
48_cm_correct,24,0.45,logreg,0.8123217247877145,0.7820033865437361,128,layer_24/width_16k/standard_new,False
49_cm_isshort,24,0.45,logreg,1.0,0.9999859024543827,128,layer_24/width_16k/jumprelu_32,False
