dataset,layer,method,baseline_test_auc,sae_best_test_auc,sae_best_k,sae_best_sae_id,sae_better
75_cell-lines,7,logreg,0.999965332269062,1.0,512,layer_7/width_16k/gated,True
76_trial-court,7,logreg,0.9992233582715516,0.9999746333676065,512,layer_7/width_16k/gated,True
77_second-derivative,7,logreg,0.9999983088911738,1.0,128,layer_7/width_16k/gated,True
78_north-america,7,logreg,0.9999780155852588,0.9999974633367607,512,layer_7/width_16k/gated,True
79_human-rights,7,logreg,0.9998587924130092,0.9999188267763407,64,layer_7/width_16k/gated,True
80_side-effects,7,logreg,0.9999382745278425,0.9999780155852589,512,layer_7/width_16k/gated,True
81_public-health,7,logreg,0.9998799312733372,0.9999619500514098,256,layer_7/width_16k/gated,True
82_federal-government,7,logreg,0.9999966177823476,1.0,512,layer_7/width_16k/gated,True
83_third-party,7,logreg,1.0,0.9999763244764327,256,layer_7/width_16k/gated,False
84_clinical-trials,7,logreg,1.0,1.0,512,layer_7/width_16k/gated,False
85_mental-health,7,logreg,0.999338776448942,0.9994977406786082,256,layer_7/width_16k/gated,True
87_glue_cola,7,logreg,0.7817134310644948,0.7692602520001741,512,layer_7/width_16k/gated,False
5_hist_fig_ismale,16,logreg,0.993957200677644,0.9874154337195796,512,layer_16/width_16k/standard_new,False
6_hist_fig_isamerican,16,logreg,0.9805792480094456,0.9727453801824536,512,layer_16/width_16k/standard,False
7_hist_fig_ispolitician,16,logreg,0.694322072343472,0.6954113964106734,128,layer_16/width_16k/topk_32,True
21_headline_istrump,16,logreg,0.9778034082704582,0.9656140162565732,512,layer_16/width_16k/gated,False
22_headline_isobama,16,logreg,0.9765320474181234,0.9595639943741209,512,layer_16/width_16k/jumprelu_32,False
23_headline_ischina,16,logreg,0.9741572126913852,0.9519403707802989,512,layer_16/width_16k/gated,False
24_headline_isiran,16,logreg,0.9687936373019248,0.9478173759941716,512,layer_16/width_16k/gated,False
26_headline_isfrontpage,16,logreg,0.7713996611779383,0.7611982919155599,512,layer_16/width_16k/p_anneal,False
36_sciq_tf,16,logreg,0.9440753732257664,0.9380229540301699,512,layer_16/width_16k/standard_new,False
41_truthqa_tf,16,logreg,0.9612244897959183,0.9444897959183673,512,layer_16/width_16k/jumprelu_32,False
42_temp_sense,16,logreg,0.9497245409015024,0.9325403450194769,512,layer_16/width_16k/gated,False
44_phys_tf,16,logreg,0.8417819448143314,0.8286500583774413,256,layer_16/width_16k/p_anneal,False
47_reasoning_tf,16,logreg,0.7241884651749134,0.7331690685614416,512,layer_16/width_16k/jumprelu_32,True
48_cm_correct,16,logreg,0.8284520915123353,0.8003790230056738,512,layer_16/width_16k/standard_new,False
49_cm_isshort,16,logreg,1.0,1.0,64,layer_16/width_16k/batch_topk_32,False
50_deon_isvalid,16,logreg,0.9311695538100268,0.9132920320108877,512,layer_16/width_16k/standard_new,False
51_just_is,16,logreg,0.9190999039025294,0.8953608414452493,512,layer_16/width_16k/standard_new,False
52_virtue_is,16,logreg,0.9739190928264796,0.9586468429669683,512,layer_16/width_16k/p_anneal,False
54_cs_tf,16,logreg,0.7282674405770303,0.6854828011855735,512,layer_16/width_16k/standard_new,False
56_wikidatasex_or_gender,16,logreg,0.998402468155688,0.9974785805927663,512,layer_16/width_16k/standard_new,False
57_wikidatais_alive,16,logreg,0.99009811258087,0.9869422878488849,512,layer_16/width_16k/standard_new,False
58_wikidatapolitical_party,16,logreg,0.9754439289713648,0.9481241975642871,512,layer_16/width_16k/standard_new,False
59_wikidata_occupation_isjournalist,16,logreg,0.950318948396001,0.9239615242198809,512,layer_16/width_16k/p_anneal,False
60_wikidata_occupation_isathlete,16,logreg,0.9586755646817248,0.9436496448648466,512,layer_16/width_16k/standard_new,False
61_wikidata_occupation_isactor,16,logreg,0.9489977109772108,0.9316827683710909,512,layer_16/width_16k/standard_new,False
62_wikidata_occupation_ispolitician,16,logreg,0.9715828760898104,0.9646253408287608,512,layer_16/width_16k/p_anneal,False
63_wikidata_occupation_issinger,16,logreg,0.9467002726630086,0.9280514693506582,512,layer_16/width_16k/jumprelu_32,False
64_wikidata_occupation_isresearcher,16,logreg,0.9791723860246344,0.9669604128918904,512,layer_16/width_16k/standard_new,False
65_high-school,16,logreg,0.99493090129336,0.9971022850262461,512,layer_16/width_16k/standard_new,True
66_living-room,16,logreg,0.9988093085771784,0.9989964954956436,512,layer_16/width_16k/standard_new,True
67_social-security,16,logreg,0.9999746333676064,0.999972096704367,512,layer_16/width_16k/standard_new,False
68_credit-card,16,logreg,0.9999069890145572,0.9996296471670545,512,layer_16/width_16k/standard_new,False
69_blood-pressure,16,logreg,0.9999086801233834,0.9998258157908977,512,layer_16/width_16k/standard_new,False
70_prime-factors,16,logreg,0.999992390010282,0.9999974633367607,1,layer_16/width_16k/batch_topk_32,True
5_hist_fig_ismale,24,logreg,0.9931744467813424,0.9899864714203692,512,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,logreg,0.9796304247224666,0.9780036535265949,512,layer_24/width_16k/standard_new,False
7_hist_fig_ispolitician,24,logreg,0.6746782911864747,0.7034943683236814,512,layer_24/width_16k/jumprelu_32,True
21_headline_istrump,24,logreg,0.9728071498948396,0.9612610236152698,512,layer_24/width_16k/standard_new,False
22_headline_isobama,24,logreg,0.9755877034358046,0.9703134418324292,512,layer_24/width_16k/standard_new,False
23_headline_ischina,24,logreg,0.9852368105515588,0.9816108651540306,256,layer_24/width_16k/standard_new,False
24_headline_isiran,24,logreg,0.9855200048570214,0.9831218505251655,512,layer_24/width_16k/gated,False
26_headline_isfrontpage,24,logreg,0.7173142022745431,0.7684774981038722,128,layer_24/width_16k/standard_new,True
36_sciq_tf,24,logreg,0.9323667217193448,0.9135411360969036,512,layer_24/width_16k/standard_new,False
41_truthqa_tf,24,logreg,0.9587755102040816,0.9212244897959183,512,layer_24/width_16k/standard_new,False
42_temp_sense,24,logreg,0.920116861435726,0.8959877573734001,512,layer_24/width_16k/standard_new,False
44_phys_tf,24,logreg,0.7997230995434105,0.8076308885016187,512,layer_24/width_16k/jumprelu_32,True
47_reasoning_tf,24,logreg,0.681355470876429,0.7051886657307395,512,layer_24/width_16k/standard_new,True
48_cm_correct,24,logreg,0.8030305638562123,0.7971032030127418,512,layer_24/width_16k/standard,False
49_cm_isshort,24,logreg,0.999999240536323,0.9999931648269081,512,layer_24/width_16k/jumprelu_32,False
50_deon_isvalid,24,logreg,0.8831517033757655,0.867857117541687,512,layer_24/width_16k/standard_new,False
51_just_is,24,logreg,0.8703587908933217,0.8506648851336505,512,layer_24/width_16k/p_anneal,False
52_virtue_is,24,logreg,0.961500823593054,0.9339846376826009,512,layer_24/width_16k/gated,False
54_cs_tf,24,logreg,0.6764210071703498,0.6628383790412328,512,layer_24/width_16k/jumprelu_32,False
56_wikidatasex_or_gender,24,logreg,0.9991681341192602,0.9952077841989025,512,layer_24/width_16k/standard_new,False
57_wikidatais_alive,24,logreg,0.9881176844661324,0.9800959759563925,512,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,logreg,0.963976020247017,0.9388795228660849,512,layer_24/width_16k/standard_new,False
59_wikidata_occupation_isjournalist,24,logreg,0.9428543777560844,0.929536809506177,256,layer_24/width_16k/standard_new,False
60_wikidata_occupation_isathlete,24,logreg,0.960880432221362,0.9442892247618406,512,layer_24/width_16k/standard_new,False
61_wikidata_occupation_isactor,24,logreg,0.9457198640051168,0.9237890059581916,512,layer_24/width_16k/jumprelu_32,False
62_wikidata_occupation_ispolitician,24,logreg,0.9641077860436936,0.9445921836604166,256,layer_24/width_16k/topk_32,False
63_wikidata_occupation_issinger,24,logreg,0.9456777863803144,0.9209950516713233,512,layer_24/width_16k/standard,False
64_wikidata_occupation_isresearcher,24,logreg,0.9694723549113272,0.960303080217427,512,layer_24/width_16k/gated,False
65_high-school,24,logreg,0.9965856512798312,0.995830571188917,512,layer_24/width_16k/standard_new,False
66_living-room,24,logreg,0.9985664221366336,0.9980276890542221,256,layer_24/width_16k/standard_new,False
67_social-security,24,logreg,0.9998554101953568,0.999878240164511,256,layer_24/width_16k/gated,True
68_credit-card,24,logreg,0.9999340467557768,0.9996457127009037,512,layer_24/width_16k/gated,False
69_blood-pressure,24,logreg,0.9996905270847988,0.9995171884301098,512,layer_24/width_16k/jumprelu_32,False
70_prime-factors,24,logreg,1.0,1.0,128,layer_24/width_16k/matryoshka_batch_topk_32,False
5_hist_fig_ismale,32,logreg,0.9945928717751906,0.9914643877355731,512,layer_32/width_16k/standard_new,False
6_hist_fig_isamerican,32,logreg,0.9759577849583662,0.9711717714439633,512,layer_32/width_16k/p_anneal,False
7_hist_fig_ispolitician,32,logreg,0.6608188385471359,0.7045933122641233,512,layer_32/width_16k/standard_new,True
21_headline_istrump,32,logreg,0.984373528539126,0.9742992428653451,512,layer_32/width_16k/p_anneal,False
22_headline_isobama,32,logreg,0.9884468555354632,0.9806710870002009,512,layer_32/width_16k/standard_new,False
23_headline_ischina,32,logreg,0.9950539568345323,0.9935436266371518,512,layer_32/width_16k/standard_new,False
24_headline_isiran,32,logreg,0.9912573614231074,0.9923805476291665,256,layer_32/width_16k/standard_new,True
26_headline_isfrontpage,32,logreg,0.730077875405427,0.7840120744598441,512,layer_32/width_16k/standard_new,True
36_sciq_tf,32,logreg,0.9162149545486304,0.8857467907596561,512,layer_32/width_16k/jumprelu_32,False
41_truthqa_tf,32,logreg,0.9440816326530612,0.876326530612245,512,layer_32/width_16k/standard,False
42_temp_sense,32,logreg,0.9155648302726768,0.8878519755147467,512,layer_32/width_16k/gated,False
44_phys_tf,32,logreg,0.7884065844488168,0.7656522932258878,512,layer_32/width_16k/jumprelu_32,False
47_reasoning_tf,32,logreg,0.6713993066498583,0.6835845056298886,512,layer_32/width_16k/p_anneal,True
48_cm_correct,32,logreg,0.8008206511337781,0.802188318638555,512,layer_32/width_16k/p_anneal,True
49_cm_isshort,32,logreg,1.0,1.0,512,layer_32/width_16k/p_anneal,False
50_deon_isvalid,32,logreg,0.8566830018865078,0.8441499525588356,512,layer_32/width_16k/standard_new,False
51_just_is,32,logreg,0.8313885578189825,0.8285250000253155,512,layer_32/width_16k/standard_new,False
52_virtue_is,32,logreg,0.946945522400018,0.9192906435298076,512,layer_32/width_16k/gated,False
54_cs_tf,32,logreg,0.6621763798695546,0.6401377565848033,512,layer_32/width_16k/gated,False
56_wikidatasex_or_gender,32,logreg,0.9955986548379354,0.978896023346926,512,layer_32/width_16k/standard_new,False
57_wikidatais_alive,32,logreg,0.9809486005109672,0.9717231420733763,512,layer_32/width_16k/standard_new,False
58_wikidatapolitical_party,32,logreg,0.9422307815364926,0.9130026375267137,512,layer_32/width_16k/standard_new,False
59_wikidata_occupation_isjournalist,32,logreg,0.936445955498704,0.9180117480728448,256,layer_32/width_16k/standard_new,False
60_wikidata_occupation_isathlete,32,logreg,0.95275103510957,0.9427828457939206,512,layer_32/width_16k/gated,False
61_wikidata_occupation_isactor,32,logreg,0.928935099471505,0.9261411451846366,256,layer_32/width_16k/standard_new,False
62_wikidata_occupation_ispolitician,32,logreg,0.9602071902245262,0.9415289325748142,512,layer_32/width_16k/jumprelu_32,False
63_wikidata_occupation_issinger,32,logreg,0.9154281819099876,0.9200987982630358,256,layer_32/width_16k/p_anneal,True
64_wikidata_occupation_isresearcher,32,logreg,0.9637141053093944,0.9511887113600176,512,layer_32/width_16k/standard_new,False
65_high-school,32,logreg,0.9951892181665676,0.9946172006060934,512,layer_32/width_16k/p_anneal,False
66_living-room,32,logreg,0.9982002662619776,0.9967831243231595,512,layer_32/width_16k/p_anneal,False
67_social-security,32,logreg,0.9996068171979005,0.9996465582553168,512,layer_32/width_16k/jumprelu_32,True
68_credit-card,32,logreg,0.999763244764327,0.9987519616862385,512,layer_32/width_16k/standard_new,False
69_blood-pressure,32,logreg,0.9997251948157369,0.9994098030196439,512,layer_32/width_16k/jumprelu_32,False
70_prime-factors,32,logreg,0.9999991544455868,1.0,256,layer_32/width_16k/jumprelu_32,True
