dataset,layer,num_train,method,baseline_test_auc,sae_best_test_auc,sae_best_k,sae_best_sae_id,sae_better
57_wikidatais_alive,24,5,logreg,0.8350220504894219,0.8141853524188979,16,layer_24/width_16k/matryoshka_batch_topk_32,False
58_wikidatapolitical_party,24,5,logreg,0.5459763883143709,0.6035790128464456,128,layer_24/width_16k/p_anneal,True
59_wikidata_occupation_isjournalist,24,5,logreg,0.4626225718278204,0.5899171939087071,16,layer_24/width_16k/standard,True
60_wikidata_occupation_isathlete,24,5,logreg,0.72997930602238,0.8023720107162007,128,layer_24/width_16k/gated,True
61_wikidata_occupation_isactor,24,5,logreg,0.5506539679218196,0.7737535575633621,16,layer_24/width_16k/topk_32,True
62_wikidata_occupation_ispolitician,24,5,logreg,0.6454016009915403,0.6788776560373195,128,layer_24/width_16k/topk_32,True
63_wikidata_occupation_issinger,24,5,logreg,0.7849526513341428,0.8410607952241881,128,layer_24/width_16k/topk_32,True
64_wikidata_occupation_isresearcher,24,5,logreg,0.6769118591472864,0.7202630826302815,128,layer_24/width_16k/jumprelu_32,True
5_hist_fig_ismale,24,7,logreg,0.6682372886361768,0.7890207665598291,128,layer_24/width_16k/topk_32,True
6_hist_fig_isamerican,24,7,logreg,0.9082726272292078,0.9405431703546187,16,layer_24/width_16k/topk_32,True
7_hist_fig_ispolitician,24,7,logreg,0.6318914750780737,0.6419543705826758,128,layer_24/width_16k/matryoshka_batch_topk_32,True
21_headline_istrump,24,7,logreg,0.8708648581319856,0.8231837606837608,128,layer_24/width_16k/batch_topk_32,False
22_headline_isobama,24,7,logreg,0.6311828400414743,0.7718991540201715,128,layer_24/width_16k/jumprelu_32,True
23_headline_ischina,24,7,logreg,0.562026588750913,0.7130027757487216,128,layer_24/width_16k/p_anneal,True
24_headline_isiran,24,7,logreg,0.5821949170342364,0.6785696282293635,16,layer_24/width_16k/matryoshka_batch_topk_32,True
26_headline_isfrontpage,24,7,logreg,0.5510926456689679,0.5547834869123932,16,layer_24/width_16k/topk_32,True
36_sciq_tf,24,7,logreg,0.688290688178008,0.6606148363021861,128,layer_24/width_16k/gated,False
41_truthqa_tf,24,7,logreg,0.6068886671380707,0.6344591960137721,128,layer_24/width_16k/standard_new,True
42_temp_sense,24,7,logreg,0.7012366575870922,0.7031948481017607,128,layer_24/width_16k/standard_new,True
44_phys_tf,24,7,logreg,0.6110902443910257,0.6263704619699211,128,layer_24/width_16k/standard,True
47_reasoning_tf,24,7,logreg,0.4954061702806122,0.5221974206349206,16,layer_24/width_16k/standard,True
48_cm_correct,24,7,logreg,0.5295117219602646,0.6309025530592538,16,layer_24/width_16k/topk_32,True
49_cm_isshort,24,7,logreg,0.9998109154133794,0.9993537737302762,128,layer_24/width_16k/batch_topk_32,False
50_deon_isvalid,24,7,logreg,0.6335643439760026,0.6617556038379355,128,layer_24/width_16k/standard_new,True
51_just_is,24,7,logreg,0.4624204817451512,0.6073647322896121,16,layer_24/width_16k/jumprelu_32,True
52_virtue_is,24,7,logreg,0.6299103325161308,0.6299013869275016,16,layer_24/width_16k/batch_topk_32,False
54_cs_tf,24,7,logreg,0.514067219089004,0.5172262799967128,128,layer_24/width_16k/jumprelu_32,True
56_wikidatasex_or_gender,24,7,logreg,0.405249360515286,0.6184366139669626,128,layer_24/width_16k/standard_new,True
57_wikidatais_alive,24,7,logreg,0.8390750521346976,0.791197647004438,128,layer_24/width_16k/standard,False
58_wikidatapolitical_party,24,7,logreg,0.5547739605078784,0.6036292859389745,128,layer_24/width_16k/p_anneal,True
59_wikidata_occupation_isjournalist,24,7,logreg,0.4859730084998629,0.6091464250576604,16,layer_24/width_16k/matryoshka_batch_topk_32,True
60_wikidata_occupation_isathlete,24,7,logreg,0.6360744181545459,0.7523628651150788,16,layer_24/width_16k/matryoshka_batch_topk_32,True
61_wikidata_occupation_isactor,24,7,logreg,0.795450879824519,0.877138070353704,128,layer_24/width_16k/topk_32,True
62_wikidata_occupation_ispolitician,24,7,logreg,0.6316773116562636,0.7174561700617732,128,layer_24/width_16k/standard_new,True
63_wikidata_occupation_issinger,24,7,logreg,0.7915073950420155,0.8589811051434655,128,layer_24/width_16k/matryoshka_batch_topk_32,True
64_wikidata_occupation_isresearcher,24,7,logreg,0.6538333949207202,0.7571469363074443,128,layer_24/width_16k/jumprelu_32,True
5_hist_fig_ismale,24,10,logreg,0.6667797503587769,0.6163332278028391,128,layer_24/width_16k/jumprelu_32,False
6_hist_fig_isamerican,24,10,logreg,0.9362802589943318,0.9317277698942391,128,layer_24/width_16k/topk_32,False
7_hist_fig_ispolitician,24,10,logreg,0.6001669738836133,0.6250637602390025,16,layer_24/width_16k/matryoshka_batch_topk_32,True
21_headline_istrump,24,10,logreg,0.8443298786827865,0.8358285134824582,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,10,logreg,0.6676481805039423,0.8015124773468381,128,layer_24/width_16k/p_anneal,True
23_headline_ischina,24,10,logreg,0.7412821919864174,0.7738212491733619,128,layer_24/width_16k/standard,True
24_headline_isiran,24,10,logreg,0.6928804384514127,0.7569742127113781,16,layer_24/width_16k/batch_topk_32,True
26_headline_isfrontpage,24,10,logreg,0.5823232672241034,0.6164815597514194,128,layer_24/width_16k/standard,True
36_sciq_tf,24,10,logreg,0.7469138758672116,0.716021136097375,128,layer_24/width_16k/jumprelu_32,False
41_truthqa_tf,24,10,logreg,0.6472335437811343,0.674944724153547,128,layer_24/width_16k/standard_new,True
42_temp_sense,24,10,logreg,0.5822515277594005,0.6902368782578724,128,layer_24/width_16k/standard_new,True
44_phys_tf,24,10,logreg,0.5523237332724791,0.6286536183835192,128,layer_24/width_16k/standard,True
47_reasoning_tf,24,10,logreg,0.4906286723786083,0.5072118719018857,16,layer_24/width_16k/p_anneal,True
48_cm_correct,24,10,logreg,0.6607334958610083,0.6667779022359073,16,layer_24/width_16k/topk_32,True
49_cm_isshort,24,10,logreg,0.9999326640450106,0.9997176389667868,128,layer_24/width_16k/jumprelu_32,False
50_deon_isvalid,24,10,logreg,0.6625221573861437,0.6471894872342921,128,layer_24/width_16k/standard_new,False
51_just_is,24,10,logreg,0.5998299726959935,0.5991959861985399,16,layer_24/width_16k/standard_new,False
52_virtue_is,24,10,logreg,0.6703094722591113,0.7008543342824023,128,layer_24/width_16k/standard_new,True
54_cs_tf,24,10,logreg,0.5158869463064059,0.5265038497202905,128,layer_24/width_16k/standard,True
56_wikidatasex_or_gender,24,10,logreg,0.7288265384015826,0.8325872273817885,128,layer_24/width_16k/topk_32,True
57_wikidatais_alive,24,10,logreg,0.8575521532238495,0.7990932948495226,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,10,logreg,0.5764856527559513,0.6027060303644902,128,layer_24/width_16k/standard,True
59_wikidata_occupation_isjournalist,24,10,logreg,0.6530297362061819,0.6576322255138872,16,layer_24/width_16k/batch_topk_32,True
60_wikidata_occupation_isathlete,24,10,logreg,0.6799642073546809,0.722021576696359,16,layer_24/width_16k/matryoshka_batch_topk_32,True
61_wikidata_occupation_isactor,24,10,logreg,0.8321779925785872,0.8780795324712091,16,layer_24/width_16k/topk_32,True
62_wikidata_occupation_ispolitician,24,10,logreg,0.7050979242287899,0.7767206252590922,128,layer_24/width_16k/standard_new,True
63_wikidata_occupation_issinger,24,10,logreg,0.8108025034629891,0.8394037592388501,128,layer_24/width_16k/matryoshka_batch_topk_32,True
64_wikidata_occupation_isresearcher,24,10,logreg,0.7459284999736745,0.7280956141736429,128,layer_24/width_16k/jumprelu_32,False
5_hist_fig_ismale,24,14,logreg,0.8892066325035943,0.8609111933960838,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,14,logreg,0.9331244660007894,0.925820869864191,128,layer_24/width_16k/topk_32,False
7_hist_fig_ispolitician,24,14,logreg,0.6142045238706904,0.6482397905145644,128,layer_24/width_16k/standard_new,True
21_headline_istrump,24,14,logreg,0.8484570601858559,0.8424786834919477,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,14,logreg,0.6883529901072457,0.8321172870681203,128,layer_24/width_16k/standard,True
23_headline_ischina,24,14,logreg,0.6895551143362515,0.7361704833706642,128,layer_24/width_16k/p_anneal,True
24_headline_isiran,24,14,logreg,0.7413374582521718,0.8478617897564515,128,layer_24/width_16k/batch_topk_32,True
26_headline_isfrontpage,24,14,logreg,0.556912002080947,0.589607723455531,128,layer_24/width_16k/p_anneal,True
36_sciq_tf,24,14,logreg,0.7487032712461666,0.6948692293477918,128,layer_24/width_16k/standard_new,False
41_truthqa_tf,24,14,logreg,0.6703384698203352,0.6776731040979745,128,layer_24/width_16k/standard_new,True
42_temp_sense,24,14,logreg,0.6845088202505083,0.6995909567840515,128,layer_24/width_16k/matryoshka_batch_topk_32,True
44_phys_tf,24,14,logreg,0.5893171828149315,0.5907666667310524,128,layer_24/width_16k/p_anneal,True
47_reasoning_tf,24,14,logreg,0.4976721537725244,0.5099691698109008,128,layer_24/width_16k/gated,True
48_cm_correct,24,14,logreg,0.6367665740155903,0.6530832076201809,128,layer_24/width_16k/batch_topk_32,True
49_cm_isshort,24,14,logreg,0.9999595979497006,0.9998779890273826,128,layer_24/width_16k/jumprelu_32,False
50_deon_isvalid,24,14,logreg,0.6586625537057533,0.6766073416481074,128,layer_24/width_16k/standard_new,True
51_just_is,24,14,logreg,0.6483099709684709,0.6272232395168752,128,layer_24/width_16k/topk_32,False
52_virtue_is,24,14,logreg,0.683352265747605,0.6727605806431132,16,layer_24/width_16k/standard_new,False
54_cs_tf,24,14,logreg,0.5067611462979167,0.5590350412937928,16,layer_24/width_16k/topk_32,True
56_wikidatasex_or_gender,24,14,logreg,0.7825149584164715,0.8911584861367849,16,layer_24/width_16k/topk_32,True
57_wikidatais_alive,24,14,logreg,0.8882575867324174,0.829867529564321,16,layer_24/width_16k/batch_topk_32,False
58_wikidatapolitical_party,24,14,logreg,0.5683457565152122,0.6165546455397755,128,layer_24/width_16k/standard,True
59_wikidata_occupation_isjournalist,24,14,logreg,0.6760366923301822,0.6738967124711692,16,layer_24/width_16k/topk_32,False
60_wikidata_occupation_isathlete,24,14,logreg,0.7220198648604749,0.7580005603742326,16,layer_24/width_16k/matryoshka_batch_topk_32,True
61_wikidata_occupation_isactor,24,14,logreg,0.7889805249650782,0.8859628285092421,128,layer_24/width_16k/topk_32,True
62_wikidata_occupation_ispolitician,24,14,logreg,0.8030913978494624,0.8107072085241853,128,layer_24/width_16k/matryoshka_batch_topk_32,True
63_wikidata_occupation_issinger,24,14,logreg,0.835231702563103,0.8146318584933242,128,layer_24/width_16k/standard_new,False
64_wikidata_occupation_isresearcher,24,14,logreg,0.8409653229797115,0.8479121464732976,16,layer_24/width_16k/matryoshka_batch_topk_32,True
5_hist_fig_ismale,24,20,logreg,0.9168697288148172,0.9069796260171259,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,20,logreg,0.9536735935304091,0.9470178020236832,128,layer_24/width_16k/jumprelu_32,False
7_hist_fig_ispolitician,24,20,logreg,0.6114279536789182,0.6356424492667335,128,layer_24/width_16k/standard,True
21_headline_istrump,24,20,logreg,0.8242466854158297,0.8210539223991183,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,20,logreg,0.8324562401055804,0.8271809620144066,128,layer_24/width_16k/standard_new,False
23_headline_ischina,24,20,logreg,0.7932428684204911,0.7784368250987979,128,layer_24/width_16k/p_anneal,False
24_headline_isiran,24,20,logreg,0.6980148639045147,0.8067628196895362,128,layer_24/width_16k/batch_topk_32,True
26_headline_isfrontpage,24,20,logreg,0.5864184742182874,0.6465121232216935,128,layer_24/width_16k/standard,True
36_sciq_tf,24,20,logreg,0.7832988845700196,0.7292338498227543,128,layer_24/width_16k/jumprelu_32,False
41_truthqa_tf,24,20,logreg,0.671052451710798,0.6817970554864462,128,layer_24/width_16k/p_anneal,True
42_temp_sense,24,20,logreg,0.6989207963062782,0.6648929944894181,128,layer_24/width_16k/standard_new,False
44_phys_tf,24,20,logreg,0.6230225845124169,0.6021050049938605,128,layer_24/width_16k/standard,False
47_reasoning_tf,24,20,logreg,0.5202361107850273,0.5293324523479713,16,layer_24/width_16k/gated,True
48_cm_correct,24,20,logreg,0.6684896274531634,0.6795429205774485,128,layer_24/width_16k/batch_topk_32,True
49_cm_isshort,24,20,logreg,0.9999783787621356,0.9999420744448262,128,layer_24/width_16k/jumprelu_32,False
50_deon_isvalid,24,20,logreg,0.6506170927179994,0.6809326498440528,128,layer_24/width_16k/standard_new,True
51_just_is,24,20,logreg,0.7106865388431992,0.663196619341972,128,layer_24/width_16k/standard_new,False
52_virtue_is,24,20,logreg,0.7092136805947122,0.6941729134740782,128,layer_24/width_16k/standard_new,False
54_cs_tf,24,20,logreg,0.5352069588115418,0.5548530804616618,16,layer_24/width_16k/topk_32,True
56_wikidatasex_or_gender,24,20,logreg,0.8422985634785022,0.8677006136236387,128,layer_24/width_16k/topk_32,True
57_wikidatais_alive,24,20,logreg,0.9096277435979352,0.856454342883789,128,layer_24/width_16k/standard_new,False
58_wikidatapolitical_party,24,20,logreg,0.5698085738367716,0.6161425396982796,128,layer_24/width_16k/p_anneal,True
59_wikidata_occupation_isjournalist,24,20,logreg,0.6965090745677196,0.6901328757749384,128,layer_24/width_16k/standard_new,False
60_wikidata_occupation_isathlete,24,20,logreg,0.778470243384298,0.7954856961934819,16,layer_24/width_16k/matryoshka_batch_topk_32,True
61_wikidata_occupation_isactor,24,20,logreg,0.8429859770608001,0.8893331699196209,128,layer_24/width_16k/topk_32,True
62_wikidata_occupation_ispolitician,24,20,logreg,0.8148951598901042,0.7699860077008713,128,layer_24/width_16k/jumprelu_32,False
63_wikidata_occupation_issinger,24,20,logreg,0.8459355945705794,0.8205104635842755,16,layer_24/width_16k/matryoshka_batch_topk_32,False
64_wikidata_occupation_isresearcher,24,20,logreg,0.8735884587150108,0.8207749513261626,128,layer_24/width_16k/jumprelu_32,False
5_hist_fig_ismale,24,28,logreg,0.919665863240586,0.8866575154871303,128,layer_24/width_16k/standard_new,False
6_hist_fig_isamerican,24,28,logreg,0.9603361116012245,0.9456578570376402,128,layer_24/width_16k/jumprelu_32,False
7_hist_fig_ispolitician,24,28,logreg,0.583868617983039,0.6244822110458407,128,layer_24/width_16k/p_anneal,True
21_headline_istrump,24,28,logreg,0.8763726364623783,0.8565884445854531,128,layer_24/width_16k/standard_new,False
22_headline_isobama,24,28,logreg,0.8907888096079979,0.8727345258710573,128,layer_24/width_16k/standard_new,False
23_headline_ischina,24,28,logreg,0.8345153113080077,0.8582881945689995,128,layer_24/width_16k/standard_new,True
24_headline_isiran,24,28,logreg,0.8957225158104479,0.8749805076669844,128,layer_24/width_16k/standard,False
26_headline_isfrontpage,24,28,logreg,0.5999545138894509,0.6154307987911378,128,layer_24/width_16k/standard_new,True
36_sciq_tf,24,28,logreg,0.7713594519652104,0.7982998554480543,128,layer_24/width_16k/standard_new,True
41_truthqa_tf,24,28,logreg,0.6818277002973573,0.6730814870656558,128,layer_24/width_16k/standard,False
42_temp_sense,24,28,logreg,0.7058478745643442,0.6793482141226361,128,layer_24/width_16k/standard,False
44_phys_tf,24,28,logreg,0.6410640836167448,0.6366631000807743,128,layer_24/width_16k/standard_new,False
47_reasoning_tf,24,28,logreg,0.5067966766804145,0.5356367202745215,16,layer_24/width_16k/standard,True
48_cm_correct,24,28,logreg,0.6635988092675118,0.6831434301707267,128,layer_24/width_16k/batch_topk_32,True
49_cm_isshort,24,28,logreg,0.9999561326122464,0.9999299093029618,128,layer_24/width_16k/jumprelu_32,False
50_deon_isvalid,24,28,logreg,0.7017224829265213,0.6720548552780885,128,layer_24/width_16k/jumprelu_32,False
51_just_is,24,28,logreg,0.6894057830490586,0.6424129653221016,128,layer_24/width_16k/standard_new,False
52_virtue_is,24,28,logreg,0.7616725669859781,0.7465767735665695,128,layer_24/width_16k/standard_new,False
